Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2026,Carlos Cortes,ATH,27,84,75,29,19,5,1,4,10,13,8,0,7,1,0,0,3,0,0,.387
2026,Ildemaro Vargas,ARI,26,108,102,39,25,6,2,6,19,21,4,0,11,0,0,1,0,0,0,.382
2026,Ben Rice,NYY,33,134,108,37,16,9,0,12,30,27,23,2,32,1,2,0,2,2,0,.343
2026,Otto Lopez,MIA,34,145,136,46,33,8,2,3,23,15,6,0,28,2,1,0,1,5,2,.338
2026,Shea Langeliers,ATH,32,146,134,45,26,9,0,10,24,18,12,1,32,0,0,0,3,0,0,.336
2026,Yordan Alvarez,HOU,36,162,135,45,24,9,0,12,26,27,22,6,19,4,1,0,1,1,0,.333
2026,Mickey Moniak,COL,28,111,102,34,15,7,1,11,19,21,7,0,27,1,1,0,2,1,0,.333
2026,Xavier Edwards,MIA,35,149,129,43,32,7,2,2,23,11,19,0,15,0,0,1,3,4,1,.333
2026,Austin Martin,MIN,28,95,72,24,19,4,0,1,11,7,20,0,15,2,1,0,1,4,4,.333
2026,Ozzie Albies,ATL,36,155,139,46,30,8,0,8,28,23,12,0,18,1,3,0,2,0,3,.331
2026,Vladimir Guerrero Jr.,TOR,35,149,130,43,34,7,0,2,21,16,17,3,18,2,0,0,2,2,0,.331
2026,Nick Gonzales,PIT,32,126,116,38,33,5,0,0,15,17,8,0,23,2,0,0,5,2,1,.328
2026,Josh Jung,TEX,31,126,114,37,21,12,0,4,12,19,10,0,19,1,1,0,4,1,1,.325
2026,Yandy Díaz,TBR,32,139,121,39,30,3,1,5,19,21,13,2,16,5,0,0,2,1,0,.322
2026,Seiya Suzuki,CHC,22,96,81,26,18,2,0,6,16,13,12,2,23,2,1,0,2,0,0,.321
2026,Michael Harris II,ATL,33,114,107,34,23,4,0,7,13,22,6,0,21,0,1,0,1,2,0,.318
2026,Troy Johnston,COL,32,119,107,34,24,8,0,2,10,16,10,0,25,1,0,1,2,1,1,.318
2026,Colt Keith,DET,32,107,101,32,25,7,0,0,17,6,5,0,21,1,0,0,2,1,0,.317
2026,Luis Arraez,SFG,34,144,133,42,33,7,2,0,14,11,6,0,6,0,2,3,2,4,0,.316
2026,Kevin McGonigle,DET,34,150,130,41,26,11,2,2,24,16,19,0,19,1,0,0,0,3,0,.315
2026,Carson Kelly,CHC,26,100,86,27,21,4,0,2,13,13,13,0,16,1,0,0,2,0,0,.314
2026,Jeff McNeil,ATH,33,117,102,32,23,8,0,1,9,12,10,0,12,2,2,1,1,1,2,.314
2026,Drake Baldwin,ATL,36,166,147,46,32,5,0,9,33,30,16,1,32,3,0,0,5,1,0,.313
2026,Andy Pages,LAD,35,140,128,40,27,8,0,5,19,27,9,0,32,1,2,0,2,5,1,.313
2026,Brandon Marsh,PHI,31,118,110,34,23,7,0,4,16,18,5,0,24,1,2,0,2,3,0,.309
2026,Casey Schmitt,SFG,29,117,107,33,19,8,1,5,13,16,5,0,23,4,1,0,2,2,1,.308
2026,Ryan O'Hearn,PIT,33,140,120,37,27,5,0,5,20,24,16,1,27,2,2,0,8,1,0,.308
2026,Christian Walker,HOU,36,148,130,40,23,9,0,8,22,26,15,1,27,2,1,0,5,0,0,.308
2026,Jordan Walker,STL,34,146,130,40,24,6,0,10,28,27,14,0,43,1,1,0,2,6,1,.308
2026,Moisés Ballesteros,CHC,31,96,85,26,15,5,0,6,14,18,10,0,15,0,1,0,0,0,0,.306
2026,Miguel Andujar,SDP,24,86,82,25,16,6,1,2,8,9,3,0,15,1,0,0,1,1,1,.305
2026,Brice Turang,MIL,31,144,115,35,21,8,1,5,28,22,27,1,30,0,1,1,3,7,2,.304
2026,Jose Fernandez,ARI,26,97,92,28,22,3,0,3,19,12,4,0,21,1,0,0,1,1,1,.304
2026,Chase DeLauter,CLE,32,130,112,34,19,8,1,6,15,21,17,0,14,0,1,0,3,0,0,.304
2026,Juan Soto,NYM,20,86,73,22,15,4,0,3,9,8,13,2,14,0,0,0,0,1,1,.301
2026,Brandon Nimmo,TEX,33,147,130,39,27,7,1,4,16,12,13,1,29,3,1,0,3,1,1,.300
2026,Matt Olson,ATL,36,162,140,42,15,15,0,12,33,32,20,2,36,0,2,0,2,0,0,.300
2026,Nico Hoerner,CHC,34,157,137,41,27,10,0,4,18,27,13,0,14,4,3,0,1,7,0,.299
2026,Chandler Simpson,TBR,34,146,134,40,37,1,2,0,17,7,7,0,15,0,2,3,0,11,4,.299
2026,Liam Hicks,MIA,32,116,101,30,20,3,0,7,18,29,9,1,10,2,4,0,0,1,0,.297
2026,Wilyer Abreu,BOS,34,145,128,38,27,6,1,4,16,15,17,0,27,0,0,0,5,1,1,.297
2026,CJ Abrams,WSN,34,143,118,35,23,4,0,8,19,27,17,2,25,6,2,0,2,6,2,.297
2026,Jacob Wilson,ATH,33,144,139,41,31,8,0,2,16,15,4,0,15,0,1,0,3,1,0,.295
2026,William Contreras,MIL,32,143,129,38,28,7,0,3,20,23,14,2,15,0,0,0,3,0,0,.295
2026,Max Muncy,LAD,33,132,113,33,19,5,0,9,24,13,19,1,31,0,0,0,1,0,0,.292
2026,Ernie Clement,TOR,34,143,138,40,26,13,0,1,11,9,5,0,10,0,0,0,3,1,0,.290
2026,Adley Rutschman,BAL,20,81,76,22,12,6,0,4,9,17,5,0,11,0,0,0,1,0,0,.289
2026,Kyle Isbel,KCR,28,95,83,24,17,4,0,3,12,8,5,0,22,3,0,4,0,5,0,.289
2026,Riley Greene,DET,36,149,128,37,24,9,0,4,24,19,21,0,41,0,0,0,2,1,1,.289
2026,Taylor Ward,BAL,34,156,125,36,22,13,0,1,19,12,29,0,24,1,1,0,1,1,1,.288
2026,Elly De La Cruz,CIN,35,154,137,39,23,6,0,10,27,25,17,0,44,0,0,0,1,8,3,.285
2026,Ryan Jeffers,MIN,26,105,88,25,18,2,1,4,17,22,15,0,19,1,1,0,1,1,0,.284
2026,Daniel Schneemann,CLE,28,97,88,25,14,7,0,4,12,14,9,0,30,0,0,0,0,2,2,.284
2026,Bobby Witt Jr.,KCR,35,158,139,39,26,9,1,3,14,16,17,2,29,0,2,0,4,11,2,.281
2026,Brandon Lockridge,MIL,26,93,82,23,19,4,0,0,8,10,10,0,25,0,0,1,0,5,0,.280
2026,Leody Taveras,BAL,26,90,75,21,14,4,1,2,10,18,14,0,18,0,0,1,0,1,1,.280
2026,Will Smith,LAD,30,112,100,28,22,3,0,3,12,16,11,0,19,0,1,0,2,0,0,.280
2026,Trevor Larnach,MIN,27,93,75,21,14,5,1,1,14,9,18,1,17,0,0,0,3,1,0,.280
2026,Oswald Peraza,LAA,32,103,93,26,17,5,0,4,10,9,7,0,26,2,0,1,2,5,1,.280
2026,Angel Martínez,CLE,30,113,104,29,17,7,0,5,13,16,4,0,21,2,1,2,2,5,2,.279
2026,Carlos Correa,HOU,32,141,122,34,23,8,0,3,22,16,18,1,26,0,1,0,5,1,0,.279
2026,Matt Shaw,CHC,30,86,79,22,13,6,0,3,10,10,5,0,16,0,1,1,1,2,1,.278
2026,Freddie Freeman,LAD,33,146,134,37,25,8,1,3,12,18,11,1,20,1,0,0,6,0,0,.276
2026,Nolan Arenado,ARI,31,116,109,30,22,3,0,5,16,17,6,0,24,0,1,0,4,0,0,.275
2026,Masyn Winn,STL,30,129,113,31,23,6,1,1,15,14,12,0,25,3,1,0,1,4,0,.274
2026,Cody Bellinger,NYY,34,147,124,34,19,8,2,5,22,23,20,0,20,0,3,0,2,4,1,.274
2026,Randy Arozarena,SEA,36,150,128,35,22,9,1,3,24,12,17,0,34,3,2,0,3,8,1,.273
2026,Corbin Carroll,ARI,31,129,110,30,15,7,4,4,20,18,17,0,36,1,1,0,1,4,0,.273
2026,Edouard Julien,COL,29,102,88,24,18,3,1,2,15,12,13,0,29,1,0,0,4,3,2,.273
2026,Tristan Peters,CHW,30,86,77,21,19,1,1,0,8,5,6,0,21,1,0,2,0,4,0,.273
2026,Aaron Judge,NYY,35,155,125,34,15,5,0,14,32,27,27,3,42,2,0,0,3,5,2,.272
2026,Jung Hoo Lee,SFG,35,137,125,34,23,8,1,2,14,11,10,0,18,0,2,0,3,0,0,.272
2026,Bryce Harper,PHI,35,149,129,35,18,9,1,7,19,20,19,1,25,0,1,0,4,2,1,.271
2026,Willson Contreras,BOS,34,147,122,33,22,4,0,7,17,21,16,0,41,7,2,0,3,1,0,.270
2026,Dominic Canzone,SEA,30,83,74,20,10,7,0,3,11,12,7,0,19,1,1,0,0,1,1,.270
2026,Heliot Ramos,SFG,34,134,126,34,22,8,1,3,12,15,7,1,38,0,1,0,1,0,0,.270
2026,Jo Adell,LAA,36,154,145,39,33,2,0,4,14,20,4,0,33,4,1,0,5,2,0,.269
2026,Alec Burleson,STL,34,152,134,36,22,9,0,5,18,28,17,2,23,0,1,0,4,1,0,.269
2026,Jonathan Aranda,TBR,34,146,123,33,22,4,0,7,18,28,19,1,36,1,3,0,1,0,0,.268
2026,Julio Rodríguez,SEA,36,157,142,38,27,7,0,4,17,16,13,1,34,2,0,0,2,3,1,.268
2026,Isaac Paredes,HOU,31,130,113,30,21,6,0,3,16,15,13,0,21,4,0,0,3,0,0,.265
2026,Nick Fortes,TBR,28,92,87,23,17,5,0,1,5,8,2,0,12,3,0,0,4,0,0,.264
2026,Oneil Cruz,PIT,33,152,140,37,22,6,0,9,25,28,11,2,53,1,0,0,1,11,2,.264
2026,Chase Meidroth,CHW,33,144,125,33,25,7,0,1,21,4,15,0,34,0,1,2,3,1,0,.264
