mlbam_id,player,name_key,num_starts,ip,era,k9,bb9,h9,whip,k_pct,bb_pct,fip,siera_proxy,qs_rate,qs_prob
571510,Matthew Boyd,matthew boyd,4,18.0,7.0,13.0,2.5,10.5,1.44,0.325,0.0625,2.63,1.5,0.0,0.27
694819,Jacob Misiorowski,jacob misiorowski,6,32.7,3.31,14.05,3.58,6.34,1.1,0.3806,0.097,2.16,1.5,0.333,0.38
686613,Hunter Brown,hunter brown,2,10.7,0.84,14.34,5.06,4.22,1.03,0.3953,0.1395,2.28,1.5,0.5,0.46
693645,Cam Schlittler,cam schlittler,7,41.7,1.51,10.58,1.3,5.4,0.74,0.3141,0.0385,2.03,1.5,0.571,0.535
601713,Nick Pivetta,nick pivetta,4,16.0,4.5,13.5,3.38,6.75,1.12,0.3636,0.0909,2.27,1.5,0.0,0.27
690997,Nolan McLean,nolan mclean,6,35.3,2.55,11.46,2.55,5.09,0.85,0.3309,0.0735,2.21,1.5,0.5,0.48
621107,Zach Eflin,zach eflin,1,3.7,2.45,17.18,4.91,9.82,1.64,0.4118,0.1176,2.41,1.5,0.0,0.405
594798,Jacob deGrom,jacob degrom,6,31.3,2.01,11.49,2.01,6.61,0.96,0.3226,0.0565,2.24,1.5,0.333,0.38
691799,Grant Taylor,grant taylor,4,5.0,0.0,9.0,0.0,1.8,0.2,0.3125,0.0,1.43,1.5,0.0,0.27
665152,Dean Kremer,dean kremer,2,11.0,4.09,13.09,1.64,6.55,0.91,0.3721,0.0465,1.75,1.5,0.5,0.46
800311,Didier Fuentes,didier fuentes,1,3.0,12.0,21.0,3.0,21.0,2.67,0.4118,0.0588,2.54,1.5,0.0,0.405
676467,Colton Gordon,colton gordon,1,3.7,9.82,12.27,0.0,19.64,2.18,0.2632,0.0,3.28,1.546,0.0,0.405
694973,Paul Skenes,paul skenes,7,34.0,3.18,10.32,1.85,5.82,0.85,0.2977,0.0534,2.33,1.662,0.429,0.435
656302,Dylan Cease,dylan cease,6,31.3,2.87,14.07,4.88,7.47,1.37,0.3577,0.1241,2.75,1.664,0.167,0.28
801139,Payton Tolle,payton tolle,2,10.7,3.38,12.66,4.22,5.06,1.03,0.3488,0.1163,2.5,1.697,0.5,0.46
607192,Tyler Glasnow,tyler glasnow,6,38.7,2.56,10.94,3.03,4.42,0.83,0.3176,0.0878,2.39,1.813,0.667,0.58
690986,Kyle Harrison,kyle harrison,5,23.7,2.28,11.41,3.04,6.46,1.06,0.3125,0.0833,2.58,1.835,0.2,0.325
687570,Connor Prielipp,connor prielipp,2,9.0,4.0,11.0,3.0,5.0,0.89,0.3143,0.0857,2.45,1.839,0.0,0.36
701542,Will Warren,will warren,6,31.3,2.59,10.63,2.01,8.33,1.15,0.2846,0.0538,2.68,1.9,0.333,0.38
669947,Jesse Scholtens,jesse scholtens,1,5.7,7.94,9.53,0.0,12.71,1.41,0.24,0.0,2.89,1.961,0.0,0.405
656876,Drew Rasmussen,drew rasmussen,6,30.7,2.64,9.39,1.47,6.16,0.85,0.2712,0.0424,2.46,1.977,0.333,0.38
677960,Ryan Weathers,ryan weathers,6,33.7,3.21,10.69,2.14,8.82,1.22,0.2817,0.0563,2.78,1.987,0.333,0.38
669373,Tarik Skubal,tarik skubal,7,43.3,2.7,9.35,1.25,7.27,0.95,0.2632,0.0351,2.56,2.018,0.714,0.635
684007,Shota Imanaga,shota imanaga,6,34.3,2.88,9.96,2.36,5.5,0.87,0.2857,0.0677,2.54,2.078,0.5,0.48
660271,Shohei Ohtani,shohei ohtani,5,30.0,0.6,10.2,2.7,5.1,0.87,0.2931,0.0776,2.54,2.091,1.0,0.725
666200,Jesús Luzardo,jesus luzardo,6,34.3,5.5,10.75,2.36,9.17,1.28,0.2789,0.0612,2.89,2.105,0.333,0.38
519242,Chris Sale,chris sale,6,35.0,2.31,9.77,2.31,5.91,0.91,0.2774,0.0657,2.62,2.196,0.833,0.68
669022,MacKenzie Gore,mackenzie gore,6,31.0,4.35,12.19,4.35,7.26,1.29,0.3158,0.1128,2.96,2.22,0.167,0.28
650911,Cristopher Sánchez,cristopher sanchez,7,40.3,2.9,11.16,2.9,10.71,1.51,0.2747,0.0714,3.2,2.325,0.571,0.535
668909,Gavin Williams,gavin williams,7,43.3,2.7,11.01,3.95,5.19,1.02,0.3046,0.1092,2.79,2.36,0.429,0.435
667755,José Soriano,jose soriano,7,42.7,0.84,10.34,3.38,5.06,0.94,0.2917,0.0952,2.73,2.376,0.571,0.535
800048,Parker Messick,parker messick,6,36.3,1.73,9.41,2.48,5.45,0.88,0.2695,0.0709,2.69,2.409,0.5,0.48
647336,Michael Soroka,michael soroka,6,30.7,4.7,10.57,2.64,10.27,1.43,0.2647,0.0662,3.19,2.425,0.167,0.28
676979,Garrett Crochet,garrett crochet,6,30.0,6.3,11.1,3.3,9.9,1.47,0.2761,0.0821,3.23,2.454,0.5,0.48
695505,Chase Burns,chase burns,6,34.0,2.65,10.32,3.18,6.88,1.12,0.2786,0.0857,2.93,2.464,0.5,0.48
672282,Reid Detmers,reid detmers,6,33.7,4.28,9.62,2.41,7.49,1.1,0.2609,0.0652,2.91,2.479,0.333,0.38
592332,Kevin Gausman,kevin gausman,7,40.7,3.1,8.85,1.77,6.86,0.96,0.2484,0.0497,2.78,2.48,0.571,0.535
677952,Braxton Ashcraft,braxton ashcraft,6,34.0,3.71,10.32,3.18,7.15,1.15,0.2766,0.0851,2.97,2.49,0.5,0.48
657746,Joe Ryan,joe ryan,7,38.3,3.76,9.16,2.11,7.28,1.04,0.2516,0.0581,2.89,2.541,0.429,0.435
663567,Peter Lambert,peter lambert,3,15.3,3.52,11.15,4.11,7.04,1.24,0.2923,0.1077,3.08,2.551,0.333,0.415
663623,Jake Irvin,jake irvin,6,29.7,4.85,10.31,3.34,7.28,1.18,0.2742,0.0887,3.04,2.584,0.0,0.18
663554,Casey Mize,casey mize,6,31.0,2.9,10.16,3.19,7.55,1.19,0.2692,0.0846,3.07,2.611,0.5,0.48
669302,Logan Gilbert,logan gilbert,7,38.0,4.03,9.24,1.89,9.71,1.29,0.2393,0.0491,3.15,2.632,0.286,0.335
690953,Mick Abel,mick abel,3,17.0,2.12,10.06,3.18,7.41,1.18,0.2676,0.0845,3.06,2.638,0.667,0.515
700249,Cade Povich,cade povich,1,6.7,1.35,6.75,0.0,6.75,0.75,0.2,0.0,2.65,2.673,1.0,0.505
676106,Emerson Hancock,emerson hancock,6,34.7,2.86,8.31,1.56,7.27,0.98,0.2319,0.0435,2.89,2.685,0.667,0.58
801403,Chase Dollander,chase dollander,1,7.0,0.0,9.0,2.57,6.43,1.0,0.25,0.0714,2.96,2.757,1.0,0.505
676917,Cade Cavalli,cade cavalli,7,30.7,3.82,11.15,4.11,10.86,1.66,0.2657,0.0979,3.63,2.866,0.286,0.335
694738,Landen Roupp,landen roupp,6,35.3,2.55,9.42,3.57,4.58,0.91,0.2681,0.1014,2.93,2.877,0.667,0.58
663978,Chris Paddack,chris paddack,5,23.3,7.33,8.49,1.16,12.34,1.5,0.2095,0.0286,3.45,2.877,0.2,0.325
686218,Emmet Sheehan,emmet sheehan,5,26.3,4.78,9.57,3.08,8.2,1.25,0.25,0.0804,3.25,2.884,0.4,0.425
676974,Max Meyer,max meyer,6,30.0,3.3,9.9,3.6,7.2,1.2,0.2619,0.0952,3.21,2.893,0.0,0.18
671737,Taj Bradley,taj bradley,7,41.0,2.85,9.66,3.29,7.68,1.22,0.2543,0.0867,3.23,2.901,0.571,0.535
681293,Spencer Arrighetti,spencer arrighetti,3,18.0,2.0,10.5,4.5,5.5,1.11,0.2838,0.1216,3.13,2.909,0.667,0.515
660761,José Suarez,jose suarez,1,3.7,9.82,14.73,7.36,12.27,2.18,0.3158,0.1579,4.12,2.924,0.0,0.405
642547,Freddy Peralta,freddy peralta,7,38.3,3.52,9.86,3.76,7.04,1.2,0.2609,0.0994,3.25,2.972,0.286,0.335
543135,Nathan Eovaldi,nathan eovaldi,7,39.7,4.76,8.85,2.27,9.76,1.34,0.2267,0.0581,3.37,2.976,0.429,0.435
681190,Randy Vásquez,randy vasquez,6,33.7,2.94,9.09,2.94,7.49,1.16,0.2429,0.0786,3.21,2.983,0.5,0.48
676282,Joey Cantillo,joey cantillo,6,30.3,2.97,10.09,3.86,8.01,1.32,0.2595,0.0992,3.37,2.993,0.167,0.28
663436,Davis Martin,davis martin,6,37.0,1.95,8.03,1.95,7.78,1.08,0.2185,0.053,3.16,3.049,0.667,0.58
672456,Keider Montero,keider montero,5,27.0,4.0,7.67,1.67,7.33,1.0,0.213,0.0463,3.08,3.055,0.2,0.325
