"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Xander Bogaerts","SD","MLB","SD",3.639563480946291,4.318097979655093,0.6785344987088017,7,6,1,0.8571428571428571,3.504978203718452,2.093440112031679,1.4115380916867724,0.5972762141033391,3.9065598879683208,-0.41153809168677247,2,0,0.044935617996390405,0.04480797174719934,4,2,2,0.5,2.84362371028462,1.0825446057879093,1.761079104496711,0.38069193257625383,0.9174553942120905,0.23892089550328888,0,0,0.018708050725556712,0.0076077387481275
"Riley Greene","DET","MLB","DET",3.436323489980868,4.296416504469264,0.8600930144883963,3,2,1,0.6666666666666666,5.210155099361194,0.9568692974459654,4.253285801915229,0.18365466654980867,1.0431307025540346,-3.2532858019152298,1,1,0.05789061221512438,-0.024557278881791048,5,3,2,0.6,4.909904663131319,2.5249058243214617,2.3849988388098584,0.5142474238412583,0.47509417567853823,-0.3849988388098581,1,0,0.023159927656279805,0.00042497800409755287
"Tyler Stephenson","CIN","MLB","CIN",5.21957218399958,4.062470737980213,-1.1571014460193672,3,3,0,1,4.023628633007733,1.4805789475137598,2.543049685493973,0.3679710735150528,1.5194210524862402,-2.543049685493973,1,1,0.0659611251312743,-0.01678079726242185,5,2,3,0.4,3.394843250918656,1.775972348469012,1.618870902449645,0.5231382473957901,0.22402765153098825,1.3811290975503554,0,0,0.024779877743931793,0.011716472621031709
"Davis Schneider","TOR","MLB","TOR",3.2971481320001574,3.953102943418108,0.6559548114179506,6,5,1,0.8333333333333334,2.381941297726076,1.214419177153984,1.1675221205720918,0.5098442931038356,3.785580822846016,-0.16752212057209195,0,0,0.0486110468923689,0.07383793269946784,2,2,0,1,3.10046678428369,2.2222559864328697,0.8782107978508203,0.716748844947321,-0.2222559864328697,-0.8782107978508203,2,1,0.028444649397098072,-0.010096025543887064
"Aaron Judge","NYY","MLB","NYY",2.791626973234517,3.8500182784054116,1.0583913051708949,4,3,1,0.75,4.681460473661051,1.4157210976278207,3.265739376033232,0.30241013580975123,1.584278902372179,-2.2657393760332325,0,0,0.05144462058968188,-0.007488576633637925,5,3,2,0.6,3.90320264339577,1.9224056691124383,1.980796974283333,0.4925200776765086,1.077594330887562,0.019203025716667186,1,0,0.017503150867245604,0.004918373796431525
"Marcus Semien","NYM","MLB","NYM",4.847601699243402,3.7513995970551663,-1.0962021021882358,5,4,1,0.8,2.6899951531825965,0.9692977780637152,1.7206973751188812,0.36033439573930687,3.030702221936285,-0.7206973751188814,0,0,0.04890900278513812,0.04200008812395279,5,2,3,0.4,3.3926241387945733,1.7444131204914046,1.6482110183031689,0.51417812558252,0.25558687950859554,1.3517889816968314,0,0,0.023079075774112744,0.010934529668064127
"Munetaka Murakami","CWS","MLB","CWS",-0.7607974625327176,3.533396202191302,4.29419366472402,9,5,4,0.5555555555555556,4.576370171197397,1.0214869845030476,3.554883186694351,0.2232089945284688,3.978513015496952,0.4451168133056499,0,0,0.049208281410724704,0.04756591213766239,4,4,0,1,5.249812832276666,2.477809583776323,2.7720032485003427,0.47198055681954304,1.5221904162236772,-2.7720032485003427,1,0,0.023126928776549188,-0.005505783402099849
"Vinnie Pasquantino","KC","MLB","KC",2.360745913297002,3.4397330887226847,1.0789871754256826,3,3,0,1,2.573416488147559,1.0668416997124368,1.506574788435122,0.4145623938550223,1.933158300287563,-1.506574788435122,0,1,0.037844360119817046,0.006273286939006482,7,4,3,0.5714285714285714,3.8878286093433494,1.904420716958833,1.9834078923845158,0.489841736434078,2.0955792830411673,1.0165921076154847,2,0,0.020144189685716837,0.016125240366096635
"Pete Alonso","BAL","MLB","BAL",3.7327751999700505,3.3712913516036895,-0.36148384836636077,6,5,1,0.8333333333333334,5.027158595695964,2.827933622046137,2.1992249736498266,0.5625312128539752,2.172066377953863,-1.1992249736498264,2,1,0.04742602448769777,0.00917774909720789,2,0,2,,2.9637515521644553,0.6626177002654086,2.301133851899048,0.22357396988337053,-0.6626177002654086,-0.3011338518990478,0,0,0.01512118138859416,-0.004917099755941098
"Ivan Herrera","STL","MLB","STL",1.6024926507824366,3.3528562390874233,1.7503635883049866,9,6,3,0.6666666666666666,4.878883967648929,2.2630138642807536,2.6158701033681755,0.46383842683827353,3.7369861357192464,0.38412989663182334,1,2,0.04878883967648929,0.04121116032351071,5,3,2,0.6,4.111616547051554,1.6806264793732835,2.4309900676782696,0.4087507821171853,1.3193735206267165,-0.43099006767827003,1,0,0.018947541691481815,0.004093932962896065
"Nick Kurtz","ATH","MLB","ATH",5.677110112322405,3.248471568739726,-2.4286385435826787,5,4,1,0.8,6.291093141590019,3.0213107864251465,3.269782355164873,0.48025211492283465,0.9786892135748535,-2.2697823551648724,1,1,0.06049128020759634,-0.012414357130673258,12,6,6,0.5,7.871831075884684,5.15023480973368,2.7215962661510016,0.6542613478471864,0.8497651902663198,3.2784037338489984,3,0,0.02981754195410865,0.015637003500436803
"Ryan O'Hearn","PIT","MLB","PIT",2.2918025116895824,3.1889761915317534,0.897173679842171,5,4,1,0.8,3.7680425411730343,1.7895331748206407,1.9785093663523943,0.47492382457644405,2.2104668251793593,-0.9785093663523943,0,0,0.04051658646422617,0.01324685439598888,5,4,1,0.8,4.867985781675225,3.4854060509165263,1.382579730758698,0.7159852569900256,0.5145939490834731,-0.3825797307586979,1,0,0.02617196656814637,0.0007097538619611559
"Teoscar Hernandez","LAD","MLB","LAD",2.6510792364566695,3.172363718422395,0.5212844819657254,4,4,0,1,2.9093918327828776,1.8685140571802412,1.0408777756026366,0.6422352727212337,2.131485942819759,-1.0408777756026366,1,0,0.044081694436104206,0.0165243661699564,6,3,3,0.5,3.2676467360253785,1.3731811270298262,1.8944656089955518,0.4202354899293989,1.6268188729701736,1.1055343910044482,0,0,0.020422792100158616,0.017077207899841386
"Kevin McGonigle","DET","MLB","DET",1.8481000200110436,2.9808056459231307,1.1327056259120871,8,6,2,0.75,5.762388340126269,3.3907913471015694,2.3715969930247,0.5884350631993797,2.609208652898431,-0.3715969930246995,0,2,0.06548168568325306,0.025427405225837852,3,2,1,0.6666666666666666,5.404681666624678,2.635988020356295,2.7686936462683818,0.4877230858265363,-0.6359880203562951,-1.7686936462683822,0,0,0.023704744151862623,-0.010546849415020518
"Lane Thomas","KC","MLB","KC",1.9964905811933769,2.9466589823427953,0.9501684011494185,2,2,0,1,2.9626638207023106,1.0080024191797579,1.954661401522553,0.3402351667901379,0.9919975808202423,-1.954661401522553,0,0,0.054864144827820566,-0.01782710779078353,4,2,2,0.5,1.8658645309370243,0.45784806489380314,1.4080164660432215,0.2453811931694071,1.542151935106197,0.5919835339567785,0,0,0.016085039059801933,0.01839771956088772
"Jose Altuve","HOU","MLB","HOU",1.716238071802325,2.7315882383970327,1.0153501665947078,10,7,3,0.7,3.2187099209030294,2.2435608412529984,0.9751490796500308,0.6970372902145693,4.756439158747002,2.024850920349969,1,0,0.04470430445698652,0.09418458443190238,3,2,1,0.6666666666666666,3.9695917835802743,1.9771208084927827,1.992470975087491,0.49806653083848534,0.02287919150721701,-0.9924709750874908,2,1,0.023770010680121405,-0.005805938823833978
"Roman Anthony","BOS","MLB","BOS",-0.4332754773883263,2.7285102977792346,3.161785775167561,3,2,1,0.6666666666666666,4.251683302798494,1.2615865025096293,2.990096800288864,0.2967263581648338,0.7384134974903707,-1.990096800288864,1,1,0.04251683302798494,-0.012516833027984937,8,6,2,0.75,6.41055652571875,3.624385375275595,2.7861711504431566,0.5653776486853814,2.3756146247244048,-0.7861711504431562,0,1,0.03237654810969066,0.008027492294349747
"Colton Cowser","BAL","MLB","BAL",1.8599659826065642,2.7134441678783374,0.8534781852717732,2,2,0,1,2.2925465540636254,0.7895511930926435,1.502995360970981,0.34439919734372865,1.2104488069073565,-1.502995360970981,1,0,0.042454565815993064,-0.005417528778956026,0,0,0,,2.320035627588842,0.7332787211585345,1.5867569064303078,0.31606356059308177,-0.7332787211585345,-1.5867569064303078,0,0,0.022745447329302372,-0.022745447329302372
"Edouard Julien","COL","MLB","COL",1.1216614692736884,2.5723247104454954,1.450663241171807,4,3,1,0.75,2.7427677099718344,1.0852214997631693,1.6575462102086642,0.39566657278983114,1.9147785002368307,-0.6575462102086648,0,0,0.04155708651472476,0.01904897409133584,2,2,0,1,4.551492039016846,2.55041439892252,2.001077640094327,0.560346887802846,-0.55041439892252,-2.001077640094327,1,0,0.029748313980502265,-0.01667641855566566
"Joc Pederson","TEX","MLB","TEX",1.8992657039224066,2.557915865431287,0.6586501615088804,2,2,0,1,2.6688901854077423,1.0554871599882276,1.6134030254195146,0.3954779277765505,0.9445128400117724,-1.6134030254195146,2,0,0.043046615893673264,-0.01078855137754423,2,2,0,1,4.282967623862595,2.812158731176858,1.4708088926857377,0.6565911718568427,-0.8121587311768572,-1.4708088926857377,0,0,0.033201299409787555,-0.017697423440795307
"Brandon Nimmo","TEX","MLB","TEX",3.1578641532884015,2.5501460747811406,-0.6077180785072611,1,1,0,1,2.026710519139359,0.23828222217910938,1.78842829696025,0.11757092092278464,0.7617177778208907,-1.78842829696025,0,0,0.027387979988369716,-0.013874466474856203,2,1,1,0.5,5.565958074371439,3.0868380764393497,2.479119997932089,0.5545924053313939,-2.0868380764393497,-1.4791199979320886,0,0,0.030582187221821093,-0.019593176232810105
"Seiya Suzuki","CHC","MLB","CHC",3.515065398587323,2.515020352533614,-1.0000450460537091,4,3,1,0.75,3.1919975764181205,1.338488611942253,1.8535089644758669,0.41932632462842573,1.6615113880577472,-0.853508964475867,1,0,0.053199959606968675,0.013466707059697991,3,1,2,0.3333333333333333,3.1597062803327347,1.5798756631932225,1.5798306171395131,0.5000071282027052,-0.5798756631932223,0.42016938286048694,0,0,0.028724602548479406,-0.0014518752757521336
"Francisco Alvarez","NYM","MLB","NYM",2.248748538973596,2.396461153758646,0.14771261478505016,2,2,0,1,3.0796638174757387,1.3416013318585462,1.7380624856171925,0.435632397356344,0.6583986681414538,-1.7380624856171925,0,0,0.0459651316041155,-0.016114385335458788,1,0,1,,1.9571651972383537,0.4047262912266518,1.5524389060117019,0.20679209491244707,-0.4047262912266518,-0.552438906011702,0,0,0.013880604235733006,-0.006788405654172721
"Isaac Paredes","HOU","MLB","HOU",0.5160063071120866,2.29306597399579,1.7770596668837035,2,2,0,1,3.3880895160446824,1.5475117710244464,1.8405777450202363,0.45675055623413396,0.45248822897555385,-1.8405777450202363,0,0,0.040820355614996175,-0.0167239700728275,2,2,0,1,3.581693491283657,1.9023169121999766,1.67937657908368,0.5311221959191706,0.09768308780002352,-1.67937657908368,1,0,0.020466819950192325,-0.009038248521620896
"Kyle Schwarber","PHI","MLB","PHI",-0.5207845666460242,2.1969445150112574,2.7177290816572817,8,5,3,0.625,4.745826975580559,2.2744412302846513,2.4713857452959074,0.47925076956823065,2.725558769715349,0.5286142547040916,1,1,0.04943569766229749,0.03389763567103585,4,3,1,0.75,4.539750151578634,1.911010534960676,2.628739616617958,0.4209505966525821,1.0889894650393237,-1.628739616617958,2,1,0.020541855889496082,-0.0024423083781838634
"Yordan Alvarez","HOU","MLB","HOU",1.6197707897775104,2.163227310063152,0.5434565202856416,1,1,0,1,1.9899321082323382,0.41335239908459287,1.576579709147745,0.20772186014515584,0.5866476009154071,-1.576579709147745,0,0,0.024874151352904227,-0.012374151352904228,0,0,0,,3.544570003215912,1.5005567414651355,2.044013261750777,0.4233395701322622,-1.5005567414651355,-2.044013261750777,0,0,0.01687890477721863,-0.01687890477721863
