"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Raley, Brooks",548384,"L",,"71.1","38.1","82.1",,,,"56.9",
"Cano, Yennier",666974,"R",,"79.6",,,"93.2",,"38.8",,
"Matz, Steven",571927,"L",,"99.6",,"84.4",,"79.3","39.2",,
"Mantiply, Joe",573009,"L",,"92.6",,"99",,"39.4",,,
"Woodford, Jake",663765,"R",,"81.9","47.5","83.5",,,,"51.1",
"Backhus, Kyle",679775,"L",,"96.3",,"91.7",,,,"45.5",
"Blackburn, Paul",621112,"R",,"91.9","53.3","80.4",,"90.8",,,
"Romero, JoJo",668941,"L",,"78.6",,"86.3",,,,"48.9",
"Kuhnel, Joel",669270,"R",,"79.9","28.1",,,,,,
"Uribe, Abner",682842,"R",,"72.9",,,,,"35.5",,
"Ashcraft, Graham",668933,"R",,,"60.7",,,,"26.4",,
"Whitlock, Garrett",676477,"R",,"99.6",,"89.2",,,"26.5",,
"Walker, Ryan",676254,"R",,"83.8",,,,,"57.4",,
"Hicks, Jordan",663855,"R",,"94.5",,,,,,"25.6",
"Fedde, Erick",607200,"R",,"68.9","45.4","63.6",,,,"57.2",
"Doval, Camilo",666808,"R",,"53.6","55.3",,,,"39.9",,
"Bachman, Sam",696147,"R",,"94.2",,"81.4",,,"16.8",,
"Maton, Phil",664208,"R",,,"52.4",,,"93.7",,"50.7",
"Bazardo, Eduard",660825,"R",,"86.5",,,,,,"57.3",
"Funderburk, Kody",681892,"L",,"74.3","60.9","76",,,"30.4","62",
"Sánchez, Cristopher",650911,"L",,"93.3",,"85.3",,,"30.2",,
"Topa, Justin",623437,"R",,"89.3","51.8","81.7",,,,"50.8",
"Ferrer, Jose A.",678606,"L",,"98.6",,"95.2",,,"15.5",,
"Rogers, Taylor",573124,"L",,"88.3","44",,,,,"63.4",
"García, Luis",472610,"R",,"85.4",,,"83.8",,,"49.4",
"Hurter, Brant",676428,"L",,"78.7",,"89.3",,,,"55.4",
"Valdez, Framber",664285,"L",,"76.3",,"78.4",,"84.5","25.9",,
"Pop, Zach",647315,"R",,"90.9","87",,,,"36",,
"Fluharty, Mason",689254,"L",,,"46.1","57.5",,,,"49.9",
"Jansen, Kenley",445276,"R",,"97.5","80.9",,,,"40.4",,
"King, John",667463,"L",,"72.7",,"79.4",,"65.3","33.2","44.7",
"Svanson, Matt",694335,"R",,"83.2","30.7",,,,,"34.3",
"Mayza, Tim",641835,"L",,"84",,,,,"18.2",,
"Nance, Tommy",667297,"R",,"87.8",,,,"75.3","12.7",,
"Borucki, Ryan",621366,"L",,"94.3",,,"89.5",,"13.5",,
"Bender, Anthony",669622,"R",,"77.9",,,,,"40.6","59",
"Alvarado, José",621237,"L",,"93.3","28.7",,,,,,
"Bird, Jake",656234,"R",,"73.3","63.9",,,"85.9",,"55",
"Coulombe, Danny",543056,"L",,"75.7","34",,,"93.6",,"38.1",
"O'Brien, Riley",676617,"R",,"81.4",,,,,"23.3","68.4",
"Holmes, Clay",605280,"R",,"74.7","15.3","73.3",,"71.8",,"51.9",
"Rogers, Tyler",643511,"R",,"72.1",,,,,"61.8",,
"Mahle, Tyler",641816,"R","99.7","99","61.2",,"88.8",,"21.6",,
"Parker, Mitchell",680730,"L","99.6",,,,,"64.6","32.8",,
"Paddack, Chris",663978,"R","99.6","97.2","43.8","97.3",,"93.2",,"63.5",
"Finnegan, Kyle",640448,"R","99.6",,,,"94.1",,"25.7",,
"Stanek, Ryne",592773,"R","99.6","91.2",,,"95.4",,"20.3",,
"Lee, Dylan",669276,"L","99.5",,,"99.3",,,"27.9",,
"Dreyer, Jack",676263,"L","99.5",,,,,,"28",,
"Klassen, George",691946,"R","99.5","99.6",,"98.9",,"60.1","16.5",,
"Blubaugh, AJ",805123,"R","99.5",,"38.3","80.5",,,,"51.3",
"Springs, Jeffrey",605488,"L","99.5",,"67.2","95.9",,,"30.8","58.2",
"Petersen, Michael",656848,"R","99.4",,,"96.3",,,"30.4",,
"Myers, Tobias",668964,"R","99.4",,"70.7",,"73.9",,"38.3",,
"Yarbrough, Ryan",642232,"L","99.4","98.8","58.9","91.9",,,,"63.6",
"Urquidy, José",664353,"R","99.3","98.8",,"98.9",,"71.8",,"33.9",
