"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Trout, Mike",545361,"LAA","FF","4-Seam Fastball",2.5,8,"315",45.5,"70","0.264","0.491","0.438",15,15.7,9.6,"0.318","0.716","0.498",52.4
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",-1.7,-3,"207",35.3,"65","0.218","0.382","0.305",8.6,21.5,22.6,"0.233","0.418","0.313",45.5
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",3.9,9,"218",37.8,"63","0.396","0.679","0.51",8.2,4.8,5.8,"0.342","0.566","0.436",40
"Hoerner, Nico",663538,"CHC","FF","4-Seam Fastball",-1,-2,"175",31,"62","0.176","0.353","0.296",4.8,3.2,5.7,"0.306","0.451","0.379",36
"Collins, Isaac",686555,"KC","FF","4-Seam Fastball",-0.8,-2,"207",47.9,"61","0.22","0.28","0.309",17.9,16.4,21.3,"0.264","0.378","0.342",36.6
"Murakami, Munetaka",808959,"CWS","FF","4-Seam Fastball",2.9,6,"196",29.7,"59","0.255","0.66","0.451",33.3,20.3,19,"0.276","0.658","0.454",57.1
"Marsee, Jakob",805300,"MIA","FF","4-Seam Fastball",-1.9,-4,"223",34.6,"58","0.16","0.26","0.252",15.6,20.7,17.6,"0.18","0.267","0.262",31.6
"Okamoto, Kazuma",672960,"TOR","FF","4-Seam Fastball",3.8,6,"154",24.9,"57","0.314","0.588","0.416",30.8,31.6,26.1,"0.276","0.614","0.409",66.7
"Simpson, Chandler",802415,"TB","FF","4-Seam Fastball",-3.1,-6,"186",39.2,"57","0.26","0.26","0.256",4.3,7,12.1,"0.262","0.305","0.271",16
"Reynolds, Bryan",668804,"PIT","FF","4-Seam Fastball",3.1,6,"202",31,"56","0.311","0.578","0.44",25.8,23.2,19.1,"0.283","0.568","0.427",50
"Busch, Michael",683737,"CHC","FF","4-Seam Fastball",-0.7,-1,"171",30.8,"56","0.192","0.308","0.265",15.9,19.6,26.8,"0.181","0.327","0.251",36.6
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",2.1,4,"182",29.8,"55","0.245","0.633","0.413",17.9,21.8,24,"0.266","0.626","0.41",48.6
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",0.1,0,"223",39.3,"54","0.227","0.318","0.323",4.1,7.4,8.2,"0.216","0.298","0.31",10
"Wetherholt, JJ",802139,"STL","FF","4-Seam Fastball",2.3,4,"193",30,"54","0.261","0.783","0.466",28,24.1,23.6,"0.284","0.755","0.471",54.5
"Grisham, Trent",663757,"NYY","FF","4-Seam Fastball",-1.3,-2,"199",37,"54","0.136","0.295","0.277",11,11.1,11.8,"0.257","0.515","0.394",55.3
"Garcia, Maikel",672580,"KC","FF","4-Seam Fastball",-0.9,-2,"184",33.2,"54","0.265","0.388","0.321",15.5,14.8,16.7,"0.304","0.459","0.362",48.8
"Aranda, Jonathan",666018,"TB","FF","4-Seam Fastball",-1.8,-4,"246",41.1,"54","0.156","0.289","0.261",29.8,27.8,21.1,"0.196","0.385","0.308",38.7
"Wood, James",695578,"WSH","FF","4-Seam Fastball",1.9,4,"205",29.4,"53","0.356","0.756","0.501",21.5,22.6,24.5,"0.362","0.725","0.496",60.6
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",-1.4,-3,"196",39.2,"52","0.213","0.319","0.28",18.3,21.2,22.4,"0.185","0.267","0.244",30.6
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",-1.5,-3,"227",35,"51","0.116","0.279","0.248",37.6,39.2,22.2,"0.125","0.28","0.253",26.1
"Cruz, Oneil",665833,"PIT","FF","4-Seam Fastball",-2.1,-4,"195",31.3,"51","0.196","0.348","0.283",39.8,37.3,30.6,"0.236","0.413","0.32",66.7
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",3.7,7,"192",27,"51","0.325","0.825","0.509",25.3,21.6,17.7,"0.311","0.802","0.503",60
"Tucker, Kyle",663656,"LAD","FF","4-Seam Fastball",2.9,4,"153",27.2,"51","0.273","0.545","0.411",18.8,15.7,16.3,"0.299","0.572","0.412",50
"Riley, Austin",663586,"ATL","FF","4-Seam Fastball",1.1,2,"188",30.4,"50","0.279","0.535","0.394",35.6,22,16.4,"0.262","0.5","0.375",65.6
"Vargas, Miguel",678246,"CWS","FF","4-Seam Fastball",2.7,5,"194",31.8,"49","0.235","0.647","0.48",24.1,14.3,11.5,"0.223","0.501","0.44",37
"Schanuel, Nolan",694384,"LAA","FF","4-Seam Fastball",-0.1,0,"181",33.1,"49","0.267","0.489","0.351",11.4,18.4,19.1,"0.286","0.471","0.354",44.4
"Arraez, Luis",650333,"SF","FF","4-Seam Fastball",-0.5,-1,"189",35.5,"48","0.295","0.386","0.3",9.2,4.2,4.1,"0.305","0.38","0.302",13.3
"Montgomery, Colson",695657,"CWS","FF","4-Seam Fastball",-1.5,-3,"193",35.5,"48","0.167","0.238","0.242",34.1,31.3,28.8,"0.162","0.262","0.246",29.6
"Carter, Evan",694497,"TEX","FF","4-Seam Fastball",-1.2,-2,"163",32.9,"48","0.175","0.425","0.308",11.5,12.5,12.5,"0.268","0.526","0.382",44.4
"Turang, Brice",668930,"MIL","FF","4-Seam Fastball",0.5,1,"230",38.2,"48","0.212","0.455","0.396",15.2,22.9,18,"0.224","0.61","0.446",69.6
"O'Hearn, Ryan",656811,"PIT","FF","4-Seam Fastball",2.4,4,"180",31,"48","0.333","0.571","0.426",14.5,16.7,14.8,"0.29","0.526","0.39",52.9
"Bellinger, Cody",641355,"NYY","FF","4-Seam Fastball",1.1,2,"159",29.2,"48","0.3","0.45","0.385",14.3,12.5,15.4,"0.306","0.434","0.383",35.3
"Turner, Trea",607208,"PHI","FF","4-Seam Fastball",1.8,3,"154",26.4,"47","0.333","0.487","0.434",15.2,14.9,18.4,"0.263","0.419","0.361",59.4
"DeLauter, Chase",800050,"CLE","FF","4-Seam Fastball",1.9,3,"177",35,"47","0.333","0.641","0.445",21.2,14.9,21.2,"0.241","0.469","0.359",48.5
"Nimmo, Brandon",607043,"TEX","FF","4-Seam Fastball",2.2,4,"179",32.7,"46","0.385","0.615","0.455",26,15.2,15.9,"0.311","0.476","0.388",45.5
"Young, Cole",702284,"SEA","FF","4-Seam Fastball",0.2,0,"199",34.5,"46","0.25","0.4","0.334",24.5,19.6,17,"0.22","0.372","0.31",41.9
"Rumfield, TJ",681198,"COL","FF","4-Seam Fastball",1.2,2,"171",32.4,"46","0.357","0.619","0.45",8.8,15.2,14.6,"0.342","0.63","0.437",60
"Smith, Cam",701358,"HOU","FF","4-Seam Fastball",2.7,4,"146",24.7,"46","0.282","0.59","0.401",26.3,26.1,22.6,"0.258","0.572","0.387",57.1
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",-1.3,-2,"196",32.7,"46","0.189","0.297","0.295",20.5,26.1,25,"0.225","0.438","0.373",51.9
"Herrera, Iván",671056,"STL","FF","4-Seam Fastball",1.8,3,"180",27.8,"46","0.333","0.5","0.434",15.3,6.5,6.7,"0.317","0.471","0.417",45.5
"Mullins, Cedric",656775,"TB","FF","4-Seam Fastball",-3.4,-6,"188",42.6,"46","0.119","0.19","0.183",22,17.4,15.4,"0.142","0.278","0.222",41.2
"Mitchell, Garrett",669003,"MIL","FF","4-Seam Fastball",-2.3,-4,"177",33.6,"46","0.139","0.222","0.263",40.2,43.5,29.4,"0.165","0.292","0.295",58.8
"Merrill, Jackson",701538,"SD","FF","4-Seam Fastball",-1,-2,"200",35.3,"46","0.256","0.395","0.309",30.4,30.4,20.6,"0.238","0.467","0.324",62.1
"Greene, Riley",682985,"DET","FF","4-Seam Fastball",0.1,0,"214",33.4,"45","0.222","0.361","0.34",28.4,31.1,18.4,"0.244","0.482","0.386",40.9
"Rocchio, Brayan",677587,"CLE","FF","4-Seam Fastball",3.3,5,"162",31.8,"45","0.368","0.658","0.473",12.4,6.7,6.5,"0.288","0.499","0.384",38.9
"Wilson, Jacob",805779,"ATH","SI","Sinker",0,0,"139",29.2,"45","0.349","0.465","0.359",6.6,2.2,5.9,"0.314","0.381","0.321",42.9
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",3,5,"149",29.3,"45","0.375","0.575","0.441",10.3,15.6,20.6,"0.308","0.436","0.362",36.4
"Tovar, Ezequiel",678662,"COL","FF","4-Seam Fastball",-3.3,-7,"207",40.4,"45","0.116","0.163","0.147",34.7,44.4,26,"0.191","0.302","0.233",39.1
"Devers, Rafael",646240,"SF","FF","4-Seam Fastball",-1.2,-3,"219",37.8,"45","0.182","0.341","0.232",49.5,57.8,30.2,"0.163","0.353","0.229",61.1
"Stewart, Sal",701398,"CIN","SI","Sinker",-0.8,-1,"133",23.1,"45","0.237","0.5","0.37",24.7,8.9,17.4,"0.372","0.802","0.525",47.1
"Bregman, Alex",608324,"CHC","SI","Sinker",-0.1,0,"133",20.8,"44","0.282","0.333","0.328",5,4.5,7.4,"0.299","0.424","0.357",37.8
"Bauers, Jake",641343,"MIL","FF","4-Seam Fastball",3,4,"135",27.2,"44","0.425","0.675","0.493",6.3,15.9,16.3,"0.346","0.581","0.423",54.5
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",-1.9,-4,"203",41.4,"44","0.167","0.194","0.242",12.3,15.9,14.3,"0.165","0.19","0.239",33.3
"Naylor, Josh",647304,"SEA","FF","4-Seam Fastball",0.5,1,"112",24.5,"44","0.282","0.513","0.364",6.3,11.4,17.2,"0.29","0.508","0.365",31.4
"Arraez, Luis",650333,"SF","SI","Sinker",0.3,0,"143",26.9,"44","0.333","0.381","0.367",3.8,4.5,6.3,"0.267","0.319","0.265",24.4
"Muncy, Max",571970,"LAD","FF","4-Seam Fastball",2.2,3,"157",29.1,"44","0.324","0.568","0.431",20.3,22.7,19.2,"0.282","0.531","0.401",66.7
"Arozarena, Randy",668227,"SEA","FF","4-Seam Fastball",0,0,"169",27.4,"44","0.265","0.529","0.401",27.7,20.5,17.3,"0.318","0.565","0.443",53.8
"Ramírez, José",608070,"CLE","FF","4-Seam Fastball",2.5,4,"178",27.8,"44","0.289","0.684","0.444",11,6.8,5.5,"0.342","0.714","0.479",51.4
"Buxton, Byron",621439,"MIN","FF","4-Seam Fastball",1.1,1,"123",23.4,"44","0.216","0.541","0.374",28.8,29.5,30.2,"0.189","0.494","0.349",62.5
"Ramírez, Agustín",682663,"MIA","SI","Sinker",-1.3,-2,"128",25.9,"44","0.231","0.308","0.308",17.2,13.6,27.3,"0.235","0.294","0.284",36.4
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",2,4,"195",36.6,"44","0.444","0.778","0.549",7.6,9.1,7.4,"0.348","0.522","0.425",36.4
"Swanson, Dansby",621020,"CHC","FF","4-Seam Fastball",1.2,2,"155",26.7,"43","0.265","0.5","0.39",26.5,25.6,22.9,"0.247","0.468","0.388",60.9
"Neto, Zach",687263,"LAA","FF","4-Seam Fastball",1.4,2,"165",24,"43","0.237","0.605","0.388",22,23.3,16.1,"0.197","0.582","0.366",42.9
"Acuña Jr., Ronald",660670,"ATL","FF","4-Seam Fastball",-2,-4,"172",28.7,"43","0.139","0.167","0.227",32.6,30.2,22.4,"0.175","0.333","0.293",34.8
"Walker, Christian",572233,"HOU","FF","4-Seam Fastball",1.7,3,"164",29.4,"43","0.273","0.515","0.423",23.1,16.3,15.2,"0.219","0.354","0.334",51.9
"Rodríguez, Julio",677594,"SEA","SI","Sinker",-0.2,0,"120",19.2,"43","0.3","0.375","0.366",9,7,12.5,"0.265","0.362","0.302",43.2
