player_id,pitch_type,pa_vs_pitch,woba_vs_pitch,whiff_pct_vs_pitch
457705,FF,8,0.2,7.7
457705,SI,3,0.6,0.0
500743,CH,1,0.0,50.0
500743,FF,8,0.562,10.0
500743,SI,5,0.64,16.7
502054,FF,3,0.233,28.6
502054,SL,6,0.0,25.0
502671,CH,3,0.0,20.0
502671,FF,5,0.14,33.3
514888,CH,5,0.0,9.1
514888,CU,2,0.0,36.4
514888,FF,5,0.43,0.0
514888,SI,5,0.18,16.7
516782,CH,7,0.386,36.4
516782,FF,4,0.225,18.8
518595,CH,3,0.3,40.0
518692,FF,5,0.57,33.3
518692,SI,5,0.0,16.7
518692,SL,6,0.3,33.3
518692,ST,3,0.0,60.0
519317,CH,9,0.278,36.4
519317,CU,2,0.625,80.0
519317,FF,4,0.0,18.2
519317,SL,3,0.667,60.0
521692,CH,4,0.5,25.0
521692,FF,7,0.414,37.5
521692,SI,3,0.6,0.0
542303,CH,4,0.225,71.4
542303,FC,4,0.675,20.0
542303,FF,2,0.625,12.5
542303,SI,3,0.533,40.0
542303,SL,2,0.9,33.3
543510,CH,4,0.225,25.0
543510,FF,2,0.45,20.0
543510,ST,5,0.18,27.3
543760,FF,4,0.45,8.3
543760,SL,7,0.257,23.1
543877,FF,3,0.6,0.0
545121,CH,5,0.58,33.3
545121,CU,1,0.0,60.0
545121,FF,9,0.4,18.2
545121,FS,3,0.0,20.0
545341,FC,3,0.417,16.7
545341,FF,6,0.358,20.0
545361,CH,4,0.175,18.2
545361,FC,6,0.833,0.0
545361,FF,5,0.54,23.1
545361,SI,2,0.0,0.0
547180,FF,10,0.27,26.7
547180,SI,8,0.625,5.9
547180,SL,7,0.286,39.1
547180,ST,6,0.208,50.0
553869,FF,3,0.65,20.0
571448,FF,6,0.842,0.0
571970,CU,4,0.225,42.9
571970,FF,3,0.717,33.3
571970,SL,4,0.175,60.0
572233,CH,7,0.257,28.6
572233,CU,1,0.0,80.0
572233,FF,6,0.35,16.7
572233,SI,4,0.525,20.0
573262,SI,3,0.533,20.0
575929,CH,9,0.1,52.9
575929,FF,5,0.54,45.5
575929,SI,3,0.967,0.0
592206,FF,4,0.312,0.0
592450,CH,7,0.329,53.8
592450,FF,7,0.486,23.5
592450,SL,4,0.225,20.0
