player_id,player_name,pa,woba_vs_lhp,k_pct_vs_lhp,whiff_pct_vs_lhp
656941,"Schwarber, Kyle",39,0.385,23.1,21.7
621566,"Olson, Matt",38,0.363,18.4,31.6
686948,"Baldwin, Drake",37,0.48,10.8,19.0
645277,"Albies, Ozzie",35,0.564,0.0,13.2
701762,"Kurtz, Nick",35,0.274,31.4,35.9
547180,"Harper, Bryce",35,0.333,28.6,32.9
693307,"Dingler, Dillon",33,0.32,18.2,17.5
683737,"Busch, Michael",33,0.308,24.2,21.7
650402,"Torres, Gleyber",33,0.298,9.1,12.5
682985,"Greene, Riley",32,0.441,31.2,34.0
691718,"Crow-Armstrong, Pete",32,0.463,25.0,39.3
695578,"Wood, James",32,0.364,40.6,34.5
808959,"Murakami, Munetaka",31,0.456,32.3,43.9
670541,"Alvarez, Yordan",31,0.297,12.9,20.7
679529,"Torkelson, Spencer",30,0.348,36.7,30.2
663330,"Jones, Jahmai",30,0.383,30.0,25.5
678246,"Vargas, Miguel",30,0.503,10.0,14.9
663538,"Hoerner, Nico",30,0.397,10.0,11.1
702284,"Young, Cole",29,0.248,20.7,17.5
672724,"Peraza, Oswald",29,0.459,24.1,34.5
646240,"Devers, Rafael",29,0.271,27.6,31.7
802139,"Wetherholt, JJ",29,0.366,17.2,20.8
641355,"Bellinger, Cody",29,0.469,6.9,8.3
624413,"Alonso, Pete",29,0.297,27.6,22.4
663586,"Riley, Austin",29,0.371,34.5,38.3
621493,"Ward, Taylor",29,0.386,3.4,5.4
621043,"Correa, Carlos",29,0.555,6.9,17.3
607208,"Turner, Trea",29,0.29,13.8,23.6
805808,"McGonigle, Kevin",29,0.233,17.2,16.4
592450,"Judge, Aaron",29,0.448,27.6,41.2
676609,"Caballero, José",29,0.436,20.7,24.5
669127,"Langeliers, Shea",29,0.526,17.2,26.4
621020,"Swanson, Dansby",29,0.466,20.7,30.4
663837,"Vierling, Matt",28,0.395,3.6,10.4
802415,"Simpson, Chandler",28,0.129,17.9,12.5
683002,"Henderson, Gunnar",28,0.205,35.7,25.9
682998,"Carroll, Corbin",28,0.446,25.0,28.6
641487,"Crawford, J.P.",28,0.35,7.1,13.6
691016,"Soderstrom, Tyler",28,0.223,25.0,23.9
666176,"Adell, Jo",28,0.361,17.9,25.0
695657,"Montgomery, Colson",27,0.3,29.6,35.0
643289,"Dubón, Mauricio",27,0.231,14.8,14.6
608369,"Seager, Corey",27,0.224,40.7,33.9
607043,"Nimmo, Brandon",27,0.324,25.9,39.1
665862,"Chisholm Jr., Jazz",27,0.278,22.2,32.6
678554,"Mead, Curtis",27,0.272,22.2,19.1
696100,"Goodman, Hunter",26,0.29,38.5,31.9
681198,"Rumfield, TJ",26,0.165,19.2,20.4
677800,"Abreu, Wilyer",26,0.392,11.5,17.8
687263,"Neto, Zach",26,0.179,38.5,31.4
608348,"Kelly, Carson",26,0.552,7.7,25.0
650333,"Arraez, Luis",26,0.235,3.8,6.1
805779,"Wilson, Jacob",26,0.31,11.5,20.0
664761,"Bohm, Alec",26,0.248,23.1,21.1
605137,"Bell, Josh",26,0.352,7.7,11.9
666969,"García, Adolis",26,0.337,26.9,31.5
664023,"Happ, Ian",26,0.312,19.2,26.2
694384,"Schanuel, Nolan",25,0.18,24.0,13.0
642715,"Adames, Willy",25,0.136,32.0,30.8
680757,"Kwan, Steven",25,0.208,16.0,13.5
808982,"Lee, Jung Hoo",25,0.344,20.0,22.2
695734,"Lile, Daylen",25,0.228,32.0,28.3
673548,"Suzuki, Seiya",25,0.394,24.0,13.5
807713,"Shaw, Matt",25,0.45,16.0,17.4
672761,"Pérez, Wenceel",24,0.179,12.5,14.6
805367,"Meidroth, Chase",24,0.46,12.5,10.0
670764,"Walls, Taylor",24,0.244,20.8,18.6
575929,"Contreras, Willson",24,0.381,33.3,40.0
545361,"Trout, Mike",24,0.431,33.3,15.9
701350,"Anthony, Roman",24,0.327,16.7,15.8
664702,"Straw, Myles",24,0.319,16.7,18.8
672695,"Perdomo, Geraldo",24,0.515,12.5,11.1
656305,"Chapman, Matt",24,0.371,25.0,30.0
663757,"Grisham, Trent",24,0.26,29.2,21.9
608324,"Bregman, Alex",24,0.4,16.7,14.7
676475,"Burleson, Alec",23,0.289,21.7,20.0
545121,"Vargas, Ildemaro",23,0.487,8.7,23.1
669477,"Schmitt, Casey",23,0.337,8.7,19.4
669236,"Jackson, Jeremiah",23,0.265,26.1,31.2
669224,"Wells, Austin",23,0.296,13.0,20.8
691781,"House, Brady",23,0.467,30.4,46.2
687093,"Grissom, Vaughn",23,0.341,8.7,15.2
668804,"Reynolds, Bryan",23,0.417,26.1,31.2
700250,"Rice, Ben",23,0.674,21.7,18.5
680777,"Jeffers, Ryan",23,0.326,13.0,11.4
665833,"Cruz, Oneil",23,0.391,56.5,37.5
660670,"Acuña Jr., Ronald",23,0.202,30.4,32.6
624641,"Sosa, Edmundo",23,0.289,26.1,30.4
642708,"Rosario, Amed",23,0.352,17.4,22.7
701678,"Lee, Hao-Yu ",22,0.293,36.4,45.0
691720,"Karros, Kyle",22,0.366,36.4,20.0
663743,"Fortes, Nick",22,0.195,18.2,24.4
