batter_id,player_name,stand,pa,k_pct_vs_rhp,bb_pct_vs_rhp,woba_vs_rhp,whiff_pct_vs_rhp,hr,singles,doubles
592450,"Judge, Aaron",R,33,0.242,0.091,0.632,0.328,5,4,2
664023,"Happ, Ian",L,32,0.219,0.281,0.493,0.389,1,2,2
677951,"Witt Jr., Bobby",R,32,0.219,0.094,0.339,0.234,2,5,0
624585,"Soler, Jorge",R,31,0.29,0.097,0.351,0.321,2,4,1
545361,"Trout, Mike",R,31,0.355,0.097,0.388,0.209,2,5,0
663757,"Grisham, Trent",L,31,0.097,0.129,0.303,0.077,1,1,3
687263,"Neto, Zach",R,31,0.452,0.097,0.227,0.373,0,2,2
672580,"Garcia, Maikel",R,30,0.133,0.033,0.247,0.209,0,3,2
608324,"Bregman, Alex",R,30,0.133,0.167,0.257,0.279,0,2,2
671056,"Herrera, Iván",R,30,0.267,0.167,0.427,0.286,0,5,4
680776,"Duran, Jarren",L,30,0.233,0.067,0.348,0.22,3,3,0
691023,"Walker, Jordan",R,30,0.233,0.133,0.545,0.26,2,8,2
693304,"Gonzales, Nick",R,30,0.133,0.1,0.439,0.22,0,9,2
804606,"Griffin, Konnor",R,30,0.2,0.1,0.409,0.34,1,6,2
666176,"Adell, Jo",R,29,0.276,0.034,0.266,0.256,0,8,0
694208,"Ballesteros, Moisés",L,29,0.069,0.138,0.265,0.278,2,1,0
672960,"Okamoto, Kazuma",R,29,0.241,0.138,0.466,0.309,4,3,0
670770,"Friedl, TJ",L,29,0.207,0.0,0.315,0.275,1,3,3
666182,"Bichette, Bo",R,29,0.103,0.069,0.299,0.07,1,6,0
521692,"Perez, Salvador",R,29,0.138,0.0,0.203,0.254,0,4,1
543760,"Semien, Marcus",R,29,0.207,0.034,0.15,0.228,0,4,0
666160,"Moniak, Mickey",L,29,0.207,0.138,0.552,0.418,2,5,2
687462,"Horwitz, Spencer",L,29,0.069,0.172,0.292,0.1,1,2,1
807712,"Keaschall, Luke",R,29,0.172,0.103,0.364,0.082,0,4,4
672640,"Lopez, Otto",R,28,0.214,0.0,0.334,0.234,0,6,3
670623,"Paredes, Isaac",R,28,0.107,0.107,0.442,0.107,1,8,1
661388,"Contreras, William",R,28,0.0,0.071,0.465,0.025,1,9,1
641355,"Bellinger, Cody",L,28,0.214,0.036,0.317,0.204,1,2,2
701398,"Stewart, Sal",R,28,0.179,0.036,0.132,0.292,0,2,1
665489,"Guerrero Jr., Vladimir",R,28,0.107,0.071,0.402,0.137,0,9,1
669003,"Mitchell, Garrett",L,28,0.321,0.107,0.188,0.31,0,2,1
663538,"Hoerner, Nico",R,28,0.0,0.071,0.334,0.068,0,4,3
701807,"Benge, Carson",L,28,0.179,0.107,0.316,0.2,1,4,1
676475,"Burleson, Alec",L,28,0.214,0.071,0.456,0.149,2,5,2
802139,"Wetherholt, JJ",L,28,0.143,0.036,0.487,0.275,3,3,3
656811,"O'Hearn, Ryan",L,28,0.179,0.107,0.355,0.238,1,4,1
668804,"Reynolds, Bryan",L,28,0.321,0.179,0.359,0.333,1,2,1
669065,"Stowers, Kyle",L,27,0.333,0.074,0.188,0.278,0,4,0
656941,"Schwarber, Kyle",L,27,0.296,0.222,0.415,0.417,2,2,1
665862,"Chisholm Jr., Jazz",L,27,0.185,0.148,0.34,0.234,1,5,0
673548,"Suzuki, Seiya",R,27,0.259,0.074,0.46,0.196,2,6,1
608070,"Ramírez, José",L,27,0.148,0.074,0.169,0.133,0,2,1
575929,"Contreras, Willson",R,27,0.222,0.074,0.389,0.245,1,5,1
701675,"Church, Nathan",L,27,0.222,0.0,0.256,0.229,1,1,3
691026,"Winn, Masyn",R,27,0.185,0.074,0.208,0.225,0,4,0
683737,"Busch, Michael",L,27,0.185,0.185,0.357,0.26,0,1,3
621439,"Buxton, Byron",R,27,0.148,0.111,0.521,0.302,4,3,1
665019,"Clemens, Kody",L,27,0.222,0.074,0.375,0.25,1,4,2
572233,"Walker, Christian",R,26,0.154,0.0,0.489,0.26,2,7,2
666969,"García, Adolis",R,26,0.154,0.077,0.27,0.269,0,5,1
547180,"Harper, Bryce",L,26,0.154,0.115,0.419,0.2,1,3,3
805300,"Marsee, Jakob",L,26,0.346,0.154,0.255,0.273,0,3,1
691785,"Mayer, Marcelo",L,26,0.192,0.038,0.291,0.277,0,7,0
694384,"Schanuel, Nolan",L,26,0.077,0.0,0.428,0.155,0,7,4
681624,"Pages, Andy",R,26,0.231,0.077,0.236,0.286,0,4,1
682829,"De La Cruz, Elly",L,26,0.346,0.115,0.374,0.324,1,5,1
686555,"Collins, Isaac",L,26,0.154,0.154,0.397,0.219,1,3,2
