name,team,k_pct,bb_pct,woba,wrc_plus,iso
Ryan O'Hearn,PIT,18.9,10.4,0.349,123,0.162
J.P. Crawford,SEA,18.0,13.5,0.313,106,0.117
Konnor Griffin,PIT,26.7,5.9,0.307,94,0.133
Jazz Chisholm Jr.,NYY,27.2,9.8,0.314,102,0.182
Trent Grisham,NYY,22.9,14.6,0.315,103,0.194
Jung Hoo Lee,SFG,11.1,7.4,0.326,111,0.139
Willy Adames,SFG,26.6,8.6,0.302,95,0.176
Spencer Horwitz,PIT,17.0,11.8,0.338,115,0.146
Jose Caballero,NYY,23.9,7.6,0.302,93,0.129
Jeff McNeil,ATH,11.6,8.5,0.337,114,0.135
Hunter Goodman,COL,29.6,6.6,0.346,109,0.248
Matt Shaw,CHC,18.9,8.3,0.33,113,0.173
Trevor Larnach,MIN,22.4,13.0,0.332,113,0.155
Jonathan Aranda,TBR,25.0,11.6,0.34,118,0.187
Carter Jensen,KCR,27.2,10.0,0.329,108,0.179
Pedro Pages,STL,25.3,5.7,0.289,85,0.138
Carlos Cortes,ATH,17.8,9.0,0.353,125,0.188
Michael Busch,CHC,24.0,10.5,0.323,108,0.178
Kyle Isbel,KCR,20.2,5.9,0.313,97,0.142
Patrick Bailey,SFG,25.2,8.0,0.258,64,0.099
Liam Hicks,MIA,12.3,9.3,0.339,116,0.152
Austin Riley,ATL,25.2,8.3,0.318,103,0.183
Luis Robert Jr.,NYM,24.3,9.2,0.306,99,0.155
Heliot Ramos,SFG,25.6,7.1,0.325,111,0.162
Jarren Duran,BOS,24.3,7.6,0.306,91,0.166
Alec Burleson,STL,13.9,8.6,0.339,120,0.167
Nolan Arenado,ARI,15.6,6.7,0.315,101,0.153
Evan Carter,TEX,23.5,11.8,0.308,98,0.15
Adolis Garcia,PHI,25.6,7.6,0.321,104,0.185
Josh Naylor,SEA,15.1,8.4,0.318,110,0.159
Brandon Marsh,PHI,26.1,8.0,0.334,113,0.168
Miguel Rojas,LAD,13.7,6.3,0.307,96,0.114
Spencer Torkelson,DET,26.6,11.7,0.338,117,0.215
Mickey Moniak,COL,25.2,5.5,0.363,120,0.255
Jakob Marsee,MIA,21.5,12.2,0.302,91,0.131
Alex Call,LAD,16.7,13.8,0.34,119,0.136
Chase Meidroth,CHW,17.3,11.3,0.309,97,0.085
Esteury Ruiz,MIA,21.6,8.4,0.327,108,0.156
Marcus Semien,NYM,17.6,8.5,0.292,89,0.125
Mauricio Dubon,ATL,14.2,5.0,0.302,92,0.122
Cam Smith,HOU,26.5,9.5,0.308,97,0.148
Jac Caglianone,KCR,24.5,8.6,0.336,113,0.187
Oswald Peraza,LAA,25.9,7.2,0.304,93,0.148
Sal Frelick,MIL,13.0,9.0,0.309,98,0.116
Nathaniel Lowe,CIN,22.0,10.4,0.349,120,0.197
Ryan Vilade,TBR,23.1,8.6,0.317,102,0.132
Teoscar Hernandez,LAD,27.2,7.1,0.328,111,0.194
Chandler Simpson,TBR,9.4,5.4,0.298,89,0.045
Jose Altuve,HOU,18.1,10.0,0.328,111,0.154
Colt Keith,DET,21.9,7.6,0.327,110,0.136
Yainer Diaz,HOU,16.9,4.0,0.305,95,0.151
Carlos Narvaez,BOS,27.1,8.2,0.293,82,0.14
Brent Rooker,ATH,26.8,9.9,0.34,116,0.225
