"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Trout, Mike",545361,"LAA","FF","4-Seam Fastball",2.6,7,"293",47,"68","0.255","0.49","0.438",16,16.2,10.3,"0.309","0.718","0.497",55
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",3.5,7,"200",38.9,"57","0.404","0.66","0.497",9,5.3,6.3,"0.343","0.554","0.438",38.6
"Hoerner, Nico",663538,"CHC","FF","4-Seam Fastball",-0.9,-1,"164",30.8,"57","0.174","0.348","0.3",5.2,3.5,5.9,"0.313","0.458","0.389",35.6
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",-2.2,-4,"182",35.3,"54","0.182","0.295","0.273",7.8,18.5,18.2,"0.215","0.327","0.284",40.5
"Reynolds, Bryan",668804,"PIT","FF","4-Seam Fastball",1.6,3,"189",32.3,"53","0.286","0.476","0.404",27.1,24.5,20.6,"0.25","0.48","0.391",48.3
"Aranda, Jonathan",666018,"TB","FF","4-Seam Fastball",-1.9,-4,"234",42.4,"52","0.14","0.279","0.254",28.9,28.8,23.1,"0.185","0.382","0.305",41.4
"Marsee, Jakob",805300,"MIA","FF","4-Seam Fastball",-1.5,-3,"200",34.3,"52","0.178","0.289","0.267",12.9,19.2,15.9,"0.189","0.277","0.267",34.3
"Collins, Isaac",686555,"KC","FF","4-Seam Fastball",-1.7,-3,"186",48.4,"52","0.2","0.222","0.274",18.7,19.2,22.7,"0.251","0.355","0.321",34.3
"Okamoto, Kazuma",672960,"TOR","FF","4-Seam Fastball",3.9,5,"137",25.5,"51","0.333","0.625","0.424",31.5,35.3,28.6,"0.288","0.643","0.409",70
"Garcia, Maikel",672580,"KC","FF","4-Seam Fastball",-0.9,-2,"169",35.1,"51","0.261","0.391","0.323",14.5,13.7,15.9,"0.296","0.453","0.358",46.2
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",2.8,5,"168",30.3,"50","0.267","0.689","0.442",18.1,22,22.4,"0.287","0.678","0.434",50
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",3.9,7,"180",28.2,"49","0.333","0.846","0.515",24.4,22.4,19,"0.319","0.822","0.509",58.6
