"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",2.1,7,"332",53.2,"98","0.22","0.363","0.282",20,21.4,21.6,"0.248","0.473","0.332",44.3
"Pérez, Eury",691587,"MIA","FF","4-Seam Fastball",-0.5,-2,"327",52.6,"96","0.268","0.463","0.378",24,25,21.8,"0.241","0.44","0.349",50
"Singer, Brady",663903,"CIN","SI","Sinker",-2.6,-7,"276",49,"95","0.356","0.621","0.447",12.1,11.6,13.8,"0.333","0.568","0.41",48.1
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",-0.9,-3,"340",62,"94","0.247","0.518","0.37",22.3,16,13.8,"0.273","0.583","0.392",50
"Misiorowski, Jacob",694819,"MIL","FF","4-Seam Fastball",0.4,2,"392",61.4,"92","0.221","0.351","0.32",47.1,44.6,34.2,"0.203","0.31","0.299",41.7
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",-1,-3,"298",45.9,"87","0.358","0.543","0.42",13.3,14.9,19.4,"0.288","0.504","0.361",61.8
"Bradley, Taj",671737,"MIN","FF","4-Seam Fastball",0.7,2,"323",45.6,"87","0.267","0.48","0.358",11.8,13.8,15.4,"0.283","0.528","0.387",49.2
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",1.5,5,"327",48.1,"86","0.195","0.403","0.293",18.2,23.3,17.5,"0.2","0.441","0.307",37.9
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",-0.4,-1,"287",47.4,"86","0.307","0.453","0.404",8.5,9.3,10.4,"0.344","0.508","0.413",49.3
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",0.7,2,"325",56,"85","0.149","0.373","0.31",30.4,32.9,27.2,"0.185","0.378","0.328",45
"Holmes, Clay",605280,"NYM","SI","Sinker",2.4,7,"313",49.7,"83","0.167","0.306","0.266",11.3,4.8,8.5,"0.28","0.421","0.353",41.2
"Burns, Chase",695505,"CIN","FF","4-Seam Fastball",0.9,3,"346",54.7,"82","0.214","0.357","0.315",22.7,17.1,16.1,"0.241","0.415","0.341",44.6
"Valdez, Framber",664285,"DET","SI","Sinker",0,0,"294",46.4,"82","0.288","0.384","0.343",9.9,9.8,14.3,"0.292","0.488","0.375",60
"Webb, Logan",657277,"SF","SI","Sinker",2.2,5,"255",38.1,"79","0.232","0.333","0.303",13.4,10.1,17.4,"0.277","0.415","0.348",62.3
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",2.1,5,"255",38.6,"76","0.194","0.284","0.277",15.4,7.9,13,"0.26","0.438","0.348",50.8
"Peralta, Freddy",642547,"NYM","FF","4-Seam Fastball",1.2,4,"340",52.2,"73","0.203","0.281","0.284",24.2,20.5,17.6,"0.249","0.388","0.326",49
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",-0.4,-1,"268",45.2,"73","0.241","0.328","0.345",16.8,28.8,24.4,"0.219","0.362","0.342",59.5
"Houser, Adrian",605288,"SF","SI","Sinker",-2.2,-4,"206",41.5,"73","0.323","0.565","0.429",6.7,4.1,8.1,"0.334","0.535","0.413",51.7
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",3.2,8,"241",38.4,"73","0.164","0.239","0.218",33.3,27.4,25,"0.244","0.364","0.298",59.6
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1.4,3,"229",35.3,"71","0.19","0.206","0.239",48.4,43.7,31.3,"0.142","0.174","0.193",15.2
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.3,4,"278",49,"71","0.239","0.403","0.288",24.5,18.3,17.1,"0.246","0.459","0.314",45.5
"Wrobleski, Justin",680736,"LAD","FF","4-Seam Fastball",3.4,9,"262",50.7,"71","0.194","0.209","0.209",11.2,12.7,12.2,"0.253","0.392","0.3",39.7
"Cease, Dylan",656302,"TOR","FF","4-Seam Fastball",-0.6,-2,"260",36.7,"70","0.304","0.411","0.374",31.2,34.3,25.5,"0.232","0.32","0.332",53.1
"Burns, Chase",695505,"CIN","SL","Slider",2.8,7,"240",38,"70","0.145","0.261","0.191",49.6,44.3,37.8,"0.154","0.281","0.193",36.8
"Bubic, Kris",663460,"KC","FF","4-Seam Fastball",-1.3,-3,"265",42,"70","0.259","0.466","0.374",27.6,24.3,20.5,"0.252","0.498","0.382",41.5
"Sale, Chris",519242,"ATL","SL","Slider",1.5,4,"261",40.5,"70","0.161","0.21","0.224",34.7,42.9,27.8,"0.161","0.235","0.23",15.6
"Woods Richardson, Simeon",680573,"MIN","FF","4-Seam Fastball",0.3,1,"240",40.5,"69","0.313","0.469","0.359",15.7,10.1,14.9,"0.231","0.393","0.292",41.4
"Schlittler, Cam",693645,"NYY","FF","4-Seam Fastball",2.1,6,"303",43.8,"69","0.2","0.262","0.23",37.6,36.2,24.3,"0.211","0.328","0.259",57.5
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",-0.6,-2,"294",44.5,"69","0.293","0.517","0.386",25.8,24.6,15.9,"0.282","0.508","0.379",51.2
"Dollander, Chase",801403,"COL","FF","4-Seam Fastball",2.5,6,"231",36.9,"69","0.169","0.254","0.251",30.9,33.3,23.7,"0.139","0.311","0.256",51.4
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",-0.3,-1,"276",43.3,"68","0.29","0.5","0.382",24.8,19.1,13.8,"0.252","0.403","0.317",42.9
"Lauer, Eric",641778,"TOR","FF","4-Seam Fastball",-0.9,-2,"236",45.2,"68","0.237","0.593","0.38",20,25,22.4,"0.237","0.51","0.357",44.2
"Gore, MacKenzie",669022,"TEX","FF","4-Seam Fastball",0.5,1,"285",44.3,"68","0.25","0.393","0.341",24.7,29.4,23.5,"0.236","0.378","0.331",40.5
"Elder, Bryce",693821,"ATL","SL","Slider",1.9,4,"195",32.1,"67","0.183","0.283","0.253",32.1,29.9,31.7,"0.177","0.279","0.247",37.5
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",0.5,1,"264",43.1,"67","0.207","0.345","0.288",17.7,20.9,15.6,"0.199","0.333","0.286",33.3
"Sasaki, Roki",808963,"LAD","FF","4-Seam Fastball",-3.5,-8,"229",42.2,"66","0.382","0.727","0.508",17.8,7.6,10.6,"0.35","0.658","0.472",58
