pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
588,608331,"Fried, Max",762,77.2,0.182,0.058,0.233,0.241,0.239,0.24,0.187,25,137,85.8,11.7,2235,87.8,88.03,66,268,320,0.20000000000000284,6.51,103,151,126,148,293,321,283,8.132,-8.132,69.5,7.0,153,105,19,5,0,1,33,21.6,13,8.5,2.73991,0.30384,0.16928,-0.16928,91.3,140,32.69230769230769,0.9615384615384616,0.6535947712418301,5.92,1.24,0.08,2.46,0.263,1,-1.382993197,0.267,0.248,1.382993197,-0.005,-0.0040000000000000036,-0.007,-0.001,24.6,45.6,7.367424791432094,1.4456472627370334,30.509015428653754,0.47692307692307695,36.65393786605522,28.3478766591615
543,666200,"Luzardo, Jesús",672,80.8,0.272,0.128,0.388,0.4,0.326,0.295,0.243,34,125,85.3,10.2,2143,90.5,89.01,85,247,296,-1.5,5.62,103,149,118,145,295,325,290,1.467,-1.467,68.8,7.4,135,83,24,7,0,3,42,31.1,8,5.9,2.4423,0.39301,0.55496,-0.55496,90.9,135,28.915662650602407,6.024096385542169,3.7037037037037033,5.73,2.42,-0.1,2.1,0.326,5,-0.270165746,0.299,0.364,0.270165746,0.029,0.027000000000000024,0.036,0.031,34.4,31.7,9.849018114624254,-5.906858643807689,32.80974104255575,0.46443514644351463,35.22274655621067,31.807532496221594
538,592662,"Ray, Robbie",680,79.1,0.211,0.248,0.222,0.459,0.328,0.339,0.211,23,109,87.8,22.4,2166,88.6,88.15,69,262,276,-0.5,6.12,106,153,123,147,293,321,292,2.285,-2.285,69.9,7.4,121,79,10,6,0,7,30,24.8,12,9.9,1.99138,0.95611,0.45115,-0.45115,91.5,190,38.961038961038966,14.285714285714285,9.090909090909092,6.17,2.68,-0.09,2.3,0.289,11,-0.42472119,0.29,0.503,0.42472119,0,-0.0010000000000000009,-0.044,-0.011,26.3,45.5,9.165862036793621,-1.6001691626699042,30.820601651583956,0.4627450980392157,36.054021440148226,29.900842441721235
518,650911,"Sánchez, Cristopher",649,79.8,0.331,0.137,0.448,0.468,0.377,0.317,0.254,41,124,89.1,5.6,2063,89.5,90.28,75,244,274,0.7999999999999972,6.94,105,150,117,146,292,324,290,-5.377,5.377,70.0,7.5,136,89,28,11,0,2,36,26.5,11,8.1,2.85423,0.02963,1.19591,-1.19591,92.2,129,42.69662921348314,12.359550561797752,8.088235294117647,6.02,1.93,0.05,1.88,0.382,11,1.038030888,0.314,0.409,-1.038030888,0.077,0.068,0.059,0.06,30.7,30.1,10.657534492922851,-5.316861844383499,35.1002214117833,0.5084033613445378,38.598543659864816,31.359657414147787
517,677960,"Weathers, Ryan",631,81.9,0.241,0.207,0.275,0.448,0.327,0.356,0.265,28,116,89.1,13.6,2276,89.7,88.58,59,228,289,-1.1000000000000085,5.8,103,151,127,148,298,322,279,-2.026,2.026,70.6,7.3,126,87,18,2,2,6,30,23.8,9,7.1,2.3025,0.5927,0.62735,-0.62735,92.3,159,44.18604651162791,13.953488372093023,9.523809523809524,5.47,2.69,0.17,2.13,0.296,12,0.391876209,0.318,0.515,-0.391876209,-0.024,-0.02200000000000002,-0.067,-0.029,25.9,33.5,8.580398970652997,-0.623840172538298,33.32703484626081,0.4594594594594595,37.993770643688215,28.774117413943944
516,669373,"Skubal, Tarik",627,82.3,0.192,0.096,0.261,0.288,0.231,0.271,0.249,24,125,86.9,9.5,2161,92.2,92.06,85,267,249,-0.10000000000000853,6.33,108,152,116,146,303,327,291,8.636,-8.636,67.6,7.1,132,89,14,9,0,1,37,28,5,3.8,1.84864,0.87506,0.51808,-0.51808,91.1,156,38.20224719101123,5.617977528089887,3.787878787878788,6.15,1.93,0.11,2.33,0.227,5,-1.673643411,0.282,0.331,1.673643411,-0.057,-0.054999999999999966,-0.043,-0.04,31.8,46.4,8.040775397271204,-0.5419002989015563,30.950221802721085,0.4389312977099237,37.26327839135797,29.896371175984303
506,664285,"Valdez, Framber",634,79.8,0.238,0.087,0.283,0.325,0.295,0.324,0.259,30,126,90.5,10.2,2268,87.8,86.7,50,244,262,-1.0999999999999943,5.77,109,151,115,145,303,323,288,1.829,-1.829,70.6,7.4,140,101,23,5,0,2,25,17.9,12,8.6,3.18051,-0.14806,0.54247,-0.54247,92.8,137,45.45454545454545,5.05050505050505,3.571428571428571,5.97,0.74,-0.14,2.02,0.314,5,-0.361462451,0.334,0.392,0.361462451,-0.021,-0.020000000000000018,-0.067,-0.029,20.5,42.5,11.008502897822874,-3.4271899488644046,34.409625301373055,0.4703389830508475,35.40368983566824,32.63093050260934
503,669022,"Gore, MacKenzie",645,78,0.23,0.16,0.302,0.39,0.321,0.326,0.24,23,100,89.2,13.9,2193,90.2,90.84,63,241,262,0.5999999999999943,6.85,107,152,119,148,303,328,300,-0.075,0.075,70.3,7.1,116,68,15,4,0,4,34,29.3,13,11.2,2.19235,0.66406,0.37614,-0.37614,91.6,167,41.17647058823529,10.294117647058822,6.0344827586206895,5.65,1.76,-0.04,2.37,0.322,7,0.014910537,0.331,0.404,-0.014910537,-0.01,-0.009000000000000008,-0.014,-0.005,26.1,48.3,7.070400023745755,2.1998410424584733,31.857014950665526,0.5256410256410257,35.799053433302305,28.351877526166678
490,663460,"Bubic, Kris",631,77.7,0.194,0.111,0.253,0.306,0.281,0.325,0.232,21,108,90.2,16,2198,88.4,89.06,69,237,253,0.6999999999999886,6.71,108,152,124,149,295,320,283,3.561,-3.561,69.4,7.0,124,77,13,6,0,2,31,25,16,12.9,2.28641,0.65145,0.19108,-0.19108,91.6,179,38.15789473684211,9.210526315789473,5.64516129032258,5.61,2.04,0.11,2.35,0.298,7,-0.726734694,0.332,0.397,0.726734694,-0.038,-0.03400000000000003,-0.091,-0.044,29.1,38.6,6.6689629578768255,2.0740306661759322,32.301886500816074,0.46120689655172414,36.8799408603315,27.079608488006805
489,672282,"Detmers, Reid",669,73.1,0.274,0.15,0.349,0.425,0.32,0.276,0.234,31,113,87.9,19.5,2192,87.4,87.13,68,249,240,-0.30000000000001137,6.3,109,152,118,148,308,331,298,-0.801,0.801,70.6,7.4,123,85,19,9,1,2,31,25.2,7,5.7,2.51626,0.55111,0.31198,-0.31198,91.5,165,35.294117647058826,5.88235294117647,4.0650406504065035,6.12,1.66,-0.03,2.43,0.309,5,0.163803681,0.273,0.362,-0.163803681,0.04,0.035999999999999976,0.063,0.044,27.3,44.4,9.976826261369263,-3.5537584875065704,31.98163586182957,0.5308641975308642,36.09799980919621,30.62972733473553
