pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
390,667755,"Soriano, José",756,51.6,0.146,0.037,0.204,0.183,0.207,0.28,0.209,12,82,88.3,7,2175,93,93.69,56,169,221,0.7000000000000028,6.82,109,152,117,149,306,327,294,8.987,-8.987,68.7,7.5,92,55,11,0,0,1,27,29.3,10,10.9,2.50177,0.17351,0.30967,0.30967,91.1,130,29.09090909090909,7.2727272727272725,4.3478260869565215,5.75,-2.34,0.22,1.87,0.239,4,-2.304358974,0.295,0.323,2.304358974,-0.063,-0.055999999999999994,-0.14,-0.073,33.1,34.2,11.525101597963562,-3.5478716105952905,33.10810984352294,0.5818181818181818,37.47587410776261,31.650993796588477
346,801403,"Dollander, Chase",626,55.3,0.19,0.165,0.25,0.354,0.263,0.261,0.19,15,79,89,3.3,2440,93.6,93.93,55,172,174,0.30000000000001137,6.45,109,152,122,146,299,327,296,3.127,-3.127,70.5,7.2,87,51,8,4,0,3,30,34.5,5,5.7,2.15494,0.48805,0.56988,0.56988,91.7,144,54.90196078431373,11.76470588235294,6.896551724137931,5.17,-1.83,0.3,2.33,0.241,6,-0.903757225,0.249,0.334,0.903757225,0,-0.008000000000000007,0.02,0.002,32,23.6,4.632117797054293,5.3182371043284595,30.63309190631309,0.3902439024390244,37.52578535702151,25.129977646168182
336,671737,"Bradley, Taj",708,47.5,0.243,0.122,0.286,0.365,0.311,0.342,0.271,18,74,93.4,13.9,2158,91.5,91.69,36,165,171,0.20000000000000284,6.46,110,153,123,147,299,324,285,1.072,-1.072,68.7,7.3,84,58,13,3,0,2,17,20.2,7,8.3,2.02259,0.73253,0.10979,0.10979,91.9,164,44.827586206896555,5.172413793103448,3.571428571428571,6.17,-1.16,0.08,2.17,0.321,3,-0.319047619,0.351,0.415,0.319047619,-0.028,-0.02999999999999997,-0.05,-0.031,21.8,58.4,6.588916670039749,-1.2123290316364599,30.201682476012767,0.5123456790123457,37.4050819740462,28.74500444675122
334,622491,"Castillo, Luis",661,50.5,0.366,0.085,0.455,0.451,0.394,0.389,0.339,26,71,91.5,11.1,2181,92,90.57,40,169,165,-1.4000000000000057,5.5,107,148,115,143,302,318,295,-4.428,4.428,72.4,7.3,78,56,22,3,0,1,15,19.2,6,7.7,2.13946,0.58087,0.89318,0.89318,92.5,151,50,8.928571428571429,6.41025641025641,5.16,-2.31,0.28,2.33,0.423,5,1.325748503,0.398,0.49,-1.325748503,0.027,0.024999999999999967,-0.039,0.005,23.7,18.2,8.924621298103146,-0.4273987273760016,31.41398914396047,0.5060975609756098,36.691052869174555,28.651307992867206
333,676440,"Bibee, Tanner",693,48.1,0.307,0.093,0.361,0.4,0.337,0.311,0.274,23,75,92.1,9.4,2383,87.9,88.32,32,151,182,0.3999999999999915,6.66,108,153,124,147,301,327,296,-0.438,0.438,70.6,8.0,80,62,18,4,0,1,13,16.3,5,6.3,2.43943,0.57429,0.05799,0.05799,92.5,138,46.774193548387096,6.451612903225806,5,6.42,-2.02,0.43,2.19,0.35,4,0.131531532,0.319,0.385,-0.131531532,0.033,0.030999999999999972,0.015,0.026,21.2,59.6,10.538224568463633,-4.637433105808512,30.19057172595704,0.45714285714285713,38.64094122731891,33.14929160622722
327,657746,"Ryan, Joe",637,51.3,0.185,0.077,0.255,0.262,0.245,0.257,0.171,12,65,87,22,2382,87.9,88.38,36,149,178,0.5,6.81,108,149,119,143,299,322,284,3.736,-3.736,68.8,7.2,75,47,7,5,0,0,20,26.7,8,10.7,2.44554,0.5789,0.36314,0.36314,90.8,153,31.914893617021278,6.382978723404255,4,4.78,-2.52,0.33,2.45,0.267,3,-1.142507645,0.265,0.269,1.142507645,0.014,0.0020000000000000018,-0.007,-0.012,24.2,24.7,10.055203309685025,-1.5704020874644211,31.876515051908655,0.5724137931034483,36.11448069893241,30.97185120133183
325,686799,"Kochanowicz, Jack",661,49.2,0.171,0.092,0.186,0.263,0.242,0.332,0.251,13,76,89.2,3.6,2331,92.1,92.22,33,137,188,0.10000000000000853,6.34,109,152,116,148,309,330,296,4.983,-4.983,70.0,7.2,86,61,10,1,0,2,16,18.6,9,10.5,2.4648,0.24074,0.59486,0.59486,93.3,119,42.3728813559322,10.16949152542373,6.976744186046512,6.26,-1.45,0.19,2.15,0.256,6,-1.533230769,0.33,0.427,1.533230769,-0.08,-0.07400000000000001,-0.164,-0.09,24.1,36.4,8.764276687356018,0.18043369235110718,33.869782771367966,0.5454545454545454,35.36368990824295,27.770399489929712
323,547179,"Lorenzen, Michael",615,52.5,0.266,0.076,0.303,0.342,0.306,0.302,0.265,21,79,89.6,9.2,2346,87.9,87.28,30,150,173,-0.6000000000000085,5.83,104,152,120,145,302,328,295,-0.248,0.248,69.6,7.4,86,67,17,3,0,1,12,14,5,5.8,2.58975,0.38447,0.43263,0.43263,92.8,131,48.484848484848484,1.5151515151515151,1.1627906976744187,5.79,-1.53,0.21,2.14,0.326,1,0.076780186,0.326,0.347,-0.076780186,0.001,0,-0.005,0.004,20,42.0,11.630593394928919,-1.7499643955156234,31.54083673148365,0.4897959183673469,37.23342291422188,30.516404250910387
321,656302,"Cease, Dylan",708,45.3,0.214,0.057,0.341,0.271,0.272,0.242,0.183,15,70,84.5,7.2,2610,92.4,92.47,55,145,176,0.09999999999999432,6.42,102,151,116,146,299,320,285,1.983,-1.983,67.8,7.3,79,42,13,1,0,1,28,35.4,8,10.1,1.98495,0.71941,0.0833,0.0833,90.3,139,26.82926829268293,2.4390243902439024,1.2658227848101267,6.11,-1.56,0.43,2.22,0.304,1,-0.617757009,0.278,0.234,0.617757009,0.031,0.025999999999999968,0.037,0.03,37.9,51.9,7.862723930059093,1.188889630337405,32.42247923738611,0.5625,39.93026924408657,28.160692165969603
311,641927,"Ober, Bailey",605,51.4,0.241,0.089,0.305,0.329,0.293,0.319,0.274,19,79,85.7,10.4,2187,83.3,84.31,34,145,166,1,7.08,109,153,122,146,297,323,285,1.413,-1.413,70.6,7.8,87,60,14,4,0,1,19,21.8,7,8,2.64727,0.68755,0.47868,0.47868,91.8,130,31.666666666666664,5,3.4482758620689653,5.91,-1.45,0.37,2.34,0.31,3,-0.454340836,0.341,0.37,0.454340836,-0.033,-0.031000000000000028,-0.041,-0.026,23.4,27.5,14.367560654633575,-10.724708277425549,29.579956107143545,0.6527777777777778,39.82528516863548,37.43015682084804
308,645261,"Alcantara, Sandy",670,46,0.209,0.07,0.25,0.279,0.248,0.241,0.213,18,86,86.2,10.3,2275,92.2,91.39,36,145,163,-0.7999999999999972,6.06,106,153,119,146,305,324,294,4.249,-4.249,70.6,7.4,92,69,14,3,0,1,17,18.5,5,5.4,2.1364,0.60446,0.6948,0.6948,91.8,116,34.78260869565217,1.4492753623188406,1.0869565217391304,5.93,-1.92,0.19,2.07,0.261,1,-1.379545455,0.265,0.265,1.379545455,-0.004,-0.0040000000000000036,0.014,0.007,24.8,34.0,9.024954764276044,0.10550891024099596,32.895010192559084,0.49295774647887325,35.62971998646675,29.09123234493094
305,701542,"Warren, Will",616,49.5,0.239,0.085,0.327,0.324,0.274,0.285,0.245,17,71,90.7,8.5,2633,91.3,91.41,36,147,158,0.10000000000000853,6.65,104,151,127,149,295,323,284,2.646,-2.646,70.5,7.1,75,50,13,3,0,1,21,28,3,4,2.10577,0.67787,0.33685,0.33685,92.2,141,44,4,2.666666666666667,5.51,-3.35,0.29,2.21,0.28,2,-0.867540984,0.286,0.36,0.867540984,-0.006,-0.00599999999999995,-0.036,-0.011,24.5,28.1,9.41550817844968,-1.8550611695068706,32.49932158571865,0.4965034965034965,36.9127182279167,29.09057482969463
