"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"White, Eli",642201,144,"ATL","CF",32,"19","11","4.15","30.5"
"Witt Jr., Bobby",677951,118,"KC","SS",26,"44","26","4.16","30.3"
"Turner, Trea",607208,143,"PHI","SS",33,"40","19","4.29","30.0"
"Crawford, Justin",702222,143,"PHI","CF",22,"44","18","4.12","29.8"
"Griffin, Konnor",804606,134,"PIT","SS",20,"36","16","4.28","29.8"
"Nuñez, Nasim",683083,120,"WSH","2B",25,"43","17","4.13","29.7"
"Simpson, Chandler",802415,139,"TB","LF",25,"68","28","3.98","29.6"
"Scott II, Victor",687363,138,"STL","CF",25,"33","12","4.16","29.6"
"Mitchell, Garrett",669003,158,"MIL","CF",27,"33","8","4.10","29.6"
"McCarthy, Jake",664983,115,"COL","LF",28,"36","11","4.18","29.6"
"Carroll, Corbin",682998,109,"AZ","RF",25,"42","7","4.13","29.5"
"Fernandez, Jose",699912,109,"AZ","DH",22,"27","1","4.35","29.4"
"Mateo, Jorge",622761,144,"ATL","SS",31,"12","4",,"29.4"
"Smith, Cam",701358,117,"HOU","RF",23,"41","10","4.42","29.4"
"Teodosio, Bryce",669326,108,"LAA","LF",27,"12","3",,"29.3"
"Lile, Daylen",695734,120,"WSH","LF",23,"46","7","4.22","29.3"
"Acuña, Luisangel",682668,145,"CWS","CF",24,"39","13","4.25","29.3"
"Buxton, Byron",621439,142,"MIN","CF",32,"32","9","4.16","29.3"
"Duran, Jarren",680776,111,"BOS","LF",29,"35","4","4.18","29.3"
"Lockridge, Brandon",663604,158,"MIL","LF",29,"37","6","4.30","29.3"
"Straw, Myles",664702,141,"TOR","RF",31,"26","7",,"29.3"
"Young, Jacob",696285,120,"WSH","CF",26,"46","4","4.31","29.2"
"Beavers, Dylan",687637,110,"BAL","RF",24,"32",,"4.22","29.1"
"Hill, Derek",656537,145,"CWS","RF",30,"15","2",,"29.1"
"Hamilton, David",666152,158,"MIL","3B",28,"31","18","3.97","29.0"
"Robert Jr., Luis",673357,121,"NYM","CF",28,"38","4","4.33","29.0"
"Mangum, Jake",663968,134,"PIT","LF",30,"41","2","4.14","29.0"
"Marte, Noelvi",682622,113,"CIN","RF",24,"15","1","4.40","28.9"
"Shaw, Matt",807713,112,"CHC","RF",24,"30","2","4.34","28.9"
"Crow-Armstrong, Pete",691718,112,"CHC","CF",24,"36","7","4.30","28.9"
"DeLuca, Jonny",676356,139,"TB","RF",27,"28","8","4.33","28.8"
"Wiemer, Joey",686894,120,"WSH","RF",27,"23",,"4.29","28.7"
"Duran, Ezequiel",677649,140,"TEX","2B",27,"31","2","4.28","28.7"
"Cronenworth, Jake",630105,135,"SD","2B",32,"34","1","4.28","28.7"
"Walker, Jordan",691023,138,"STL","RF",24,"39","1","4.38","28.7"
"Taylor, Tyrone",621438,121,"NYM","RF",32,"16",,,"28.7"
"Rafaela, Ceddanne",678882,111,"BOS","CF",25,"42","1","4.19","28.6"
"Trout, Mike",545361,108,"LAA","CF",34,"31","2","4.40","28.6"
"Keaschall, Luke",807712,142,"MIN","2B",23,"51",,"4.26","28.6"
