"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Turner, Trea",607208,2026,152,20.4,7.9,".298",".283",31.2,5.5,39.4,"99.284469091","93.87978367",25.9,49
"Cronenworth, Jake",630105,2026,114,20.2,12.3,".234",".305",28.4,5.5,32.4,"98.140737778","93.094018611",23.3,44.2
"Sánchez, Jesús",660821,2026,118,16.9,4.2,".298",".333",30.8,7.7,48.4,"101.772884783","95.486615165",22.8,55.5
"Rodríguez, Julio",677594,2026,157,21.7,8.3,".331",".332",30.6,7.4,42.6,"101.878981481","95.137839444",28,51.5
"Caminero, Junior",691406,2026,147,17.7,12.2,".367",".358",23.3,10.8,44.1,"104.432887451","96.482814706",21.7,42.9
"Smith, Cam",701358,2026,141,28.4,9.9,".312",".354",35.7,15.7,46.4,"102.926545","95.784354217",31.5,47.3
"Bauers, Jake",641343,2026,126,21.4,10.3,".329",".327",27.9,10.5,53.5,"103.28396093","96.855093605",25.9,43.5
"Grisham, Trent",663757,2026,133,16.5,17.3,".315",".371",30.7,14.8,52.3,"101.812319318","95.752415",16,32.5
"Garcia, Maikel",672580,2026,145,16.6,9,".328",".332",34.3,7.4,44.4,"101.030746415","94.833135472",17.1,37.9
"Schanuel, Nolan",694384,2026,142,15.5,7,".311",".309",33.9,2.8,32.1,"97.164822","92.633417982",16.9,45.3
"Pages, Andy",681624,2026,140,22.9,6.4,".372",".352",36.7,6.1,53.1,"101.852949592","95.557645408",24.5,50.4
"Winn, Masyn",691026,2026,129,19.4,9.3,".332",".316",34.8,3.4,27,"96.985052045","92.5066225",20.8,42.8
"McNeil, Jeff",643446,2026,117,10.3,8.5,".359",".340",40.9,1.1,32.3,"96.328279348","92.171164239",15.8,53.4
"Carpenter, Kerry",681481,2026,110,34.5,10,".332",".302",35.6,12.1,50.8,"100.446153448","94.898953966",35.6,45.9
"De La Cruz, Elly",682829,2026,154,28.6,11,".398",".375",32.3,15.6,51.6,"105.460659333","97.670741333",30.5,39.2
"Raleigh, Cal",663728,2026,147,29.3,10.9,".291",".322",33,13.6,30.7,"99.189086364","93.633155909",30.4,51.2
"Wilson, Jacob",805779,2026,144,10.4,2.8,".314",".278",32,1.6,29.6,"96.134177742","92.121769106",14.9,59
"Pasquantino, Vinnie",686469,2026,142,21.1,11.3,".291",".318",36.8,10.5,40,"99.96525766","94.246063723",17.6,46.5
"Caballero, José",676609,2026,128,21.1,4.7,".323",".266",28.3,3.3,29.3,"96.496309545","92.32049977",27.8,49.5
"Guerrero Jr., Vladimir",665489,2026,149,12.1,11.4,".378",".379",32.1,10.7,43.8,"102.870275714","95.625317768",20.5,48.1
"Chapman, Matt",656305,2026,145,23.4,9.7,".301",".267",21.9,4.3,33.3,"99.973573617","94.023400638",24.7,42.4
"Collins, Isaac",686555,2026,109,29.4,13.8,".317",".299",30,6.7,38.3,"100.307474333","94.329242167",26.9,38.7
"McGonigle, Kevin",805808,2026,150,12.7,12.7,".394",".401",45,12.6,36.9,"99.043831607","93.783941802",12.8,42.5
"Smith, Will",669257,2026,112,17,9.8,".337",".372",42.7,14.6,37.8,"99.780737317","94.086974878",15.3,41.2
"Marsee, Jakob",805300,2026,155,25.2,13.5,".271",".283",29,2.2,38.7,"99.129126222","93.650593111",18.3,38.1
"Gonzales, Nick",693304,2026,126,18.3,6.3,".344",".344",36.6,1.1,40.9,"98.631810426","93.486867419",23.7,56.4
