"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Misiorowski, Jacob",694819,2026,155,38.1,9.7,".261",".272",39.5,3.9,36.8,"76.860290263","93.333779211",39.8,48.4
"Bradley, Taj",671737,2026,174,25.3,8.6,".306",".317",45.1,9.7,46.9,"84.581149464","95.64093625",25.5,45.9
"Sánchez, Cristopher",650911,2026,180,27.8,7.2,".334",".293",32.5,11.1,44.4,"78.553789153","94.738498205",30.3,49.8
"Glasnow, Tyler",607192,2026,144,32.6,9,".230",".249",29.8,7.1,38.1,"81.597974048","93.752498571",30.3,43.8
"Ryan, Joe",657746,2026,157,25.5,6.4,".284",".282",31.4,10.5,38.1,"77.853273077","94.202192404",24.7,50.2
"Martinez, Nick",607259,2026,168,16.7,6,".255",".313",30,6.9,29.2,"75.434375692","93.000710465",17.5,48.6
"Gilbert, Logan",669302,2026,185,23.2,5.4,".359",".343",40.3,10.1,48.8,"81.359910313","95.396644297",29,48.5
"Schlittler, Cam",693645,2026,181,29.3,5,".219",".263",29.4,6.7,41.2,"75.255658814","94.174102542",29.8,56.6
"Imanaga, Shota",684007,2026,159,27,6.3,".234",".269",35.8,8.5,41.5,"79.864795472","94.03922066",31.7,50.9
"Leiter, Jack",683004,2026,164,26.2,7.9,".343",".346",39.6,13.2,44.3,"76.205512453","94.886096476",29.7,48.6
"Pérez, Eury",691587,2026,158,24.7,10.1,".346",".350",35.6,13.9,45.5,"78.3775848","95.0363015",28.7,52.1
"King, Michael",650633,2026,159,24.5,11.3,".290",".317",35.1,11.3,34,"77.880128723","93.547335319",27.6,44.3
"Roupp, Landen",694738,2026,159,27,10.1,".249",".260",34.7,0,23.5,"75.494307083","91.818254526",25.7,43
"McGreevy, Michael",700241,2026,147,16.3,5.4,".263",".371",34.8,11.4,34.8,"75.143678214","94.108715089",17.1,43.7
"Liberatore, Matthew",669461,2026,158,14.6,8.2,".368",".373",38.5,9,44.3,"81.826934098","95.240981405",18.2,46.2
"Soriano, José",667755,2026,186,29,10.2,".260",".313",33.6,10.7,35.4,"78.556248393","93.52413027",33.8,46
"Warren, Will",701542,2026,152,30.3,5.3,".273",".294",35.1,7.2,42.3,"80.441554082","95.118541753",23.8,43.7
"Cease, Dylan",656302,2026,166,33.7,10.8,".284",".278",33.3,3.4,35.6,"74.486413409","93.742129545",36.9,45.9
"Webb, Logan",657277,2026,188,20.2,8,".321",".331",29.5,6.1,48.5,"79.847032769","95.513851",20.9,47.8
"Woo, Bryan",693433,2026,166,17.5,3.6,".302",".319",35.7,10.1,48.1,"78.456086923","95.233476589",22.2,53.3
"Severino, Luis",622663,2026,162,24.7,14.2,".335",".327",33,9.3,42.3,"78.567212083","94.1830425",24,45.6
"Wacha, Michael",608379,2026,174,20.7,8.6,".286",".327",35.2,8.2,37.7,"77.544750833","93.888199244",23.7,48.1
"McLean, Nolan",690997,2026,153,33.3,7.2,".239",".244",36.7,5.6,32.2,"72.089164444","93.108606556",27.5,42
"Matz, Steven",571927,2026,149,18.8,8.7,".299",".342",43,11.2,37.4,"78.071828333","94.114728692",24.4,49.1
"Vásquez, Randy",681190,2026,161,22.4,8.1,".306",".335",34.5,12.7,40.9,"77.436003704","94.372098241",24.6,50.4
"Holmes, Clay",605280,2026,168,18.5,8.3,".246",".309",26.2,4.1,43.4,"78.738217377","94.276682459",22.2,50
