ranker,name_display,age,team_name_abbr,comp_name_abbr,b_pa,b_roba,b_rbat_plus,b_batting_avg_bip,b_iso_slugging,b_home_run_perc,b_strikeout_perc,b_base_on_balls_perc,b_avg_exit_velo,b_hard_hit_perc,b_ld_perc,b_gb_perc,b_fb_perc,b_gb_fb_ratio,b_pull_perc,b_center_perc,b_oppo_perc,b_wpa_bat,b_cwpa_bat,b_baseout_runs,b_run_scoring_perc,b_stolen_base_perc,b_extra_bases_taken_perc,pos,awards
1,James Wood*,23,WSN,NL,155,.408,161,.306,.303,6.5,32.3,20.0,97.3,63.9,29.2,41.7,27.8,0.71,25.0,52.8,22.2,1.7,0.8%,16.35,38.5,83.3,42.9,*9/7D,
2,Zach Neto,25,LAA,AL,150,.342,115,.325,.178,3.3,31.3,13.3,87.8,35.4,24.4,31.7,37.8,0.47,36.6,47.6,15.9,-0.3,-0.1%,0.26,34.8,62.5,41.7,*6,
3,Drake Baldwin*,25,ATL,NL,146,.395,150,.347,.192,4.8,19.2,9.6,90.9,49.0,26.5,45.1,21.6,0.82,30.4,53.9,15.7,1.1,0.7%,10.24,46.9,100.0,35.3,*2D,
4,Nico Hoerner,29,CHC,NL,146,.386,144,.297,.157,2.7,9.6,8.9,86.3,26.5,27.8,33.0,27.8,0.49,23.5,55.7,20.9,0.7,0.4%,7.90,24.0,100.0,64.3,*4/6,
5,Ronald Acuña Jr.,28,ATL,NL,145,.329,107,.300,.132,1.4,21.4,13.1,89.1,42.4,20.7,42.4,28.3,0.74,27.2,50.0,22.8,0.1,0.1%,0.01,26.5,60.0,25.0,*9/D,
6,Gunnar Henderson*,25,BAL,AL,145,.342,109,.241,.267,6.2,30.3,8.3,89.7,46.6,23.9,37.5,29.5,0.60,42.0,44.3,13.6,0.0,0.2%,1.04,40.6,83.3,80.0,*6/D,
7,Mike Trout,34,LAA,AL,144,.458,190,.246,.321,6.9,20.8,22.2,92.8,52.6,19.0,32.9,41.8,0.49,31.6,49.4,19.0,1.7,0.8%,14.96,36.5,100.0,20.0,*8/D,
8,Taylor Ward,32,BAL,AL,144,.399,153,.362,.139,0.7,14.6,18.8,89.6,37.9,29.5,37.9,27.4,0.61,28.4,47.4,24.2,0.4,0.4%,10.00,27.4,50.0,30.8,*7/D,
9,Yordan Alvarez*,29,HOU,AL,143,.507,230,.323,.381,8.4,9.8,14.7,93.6,49.5,23.8,27.6,42.9,0.38,41.0,45.7,13.3,1.3,0.7%,17.36,24.1,100.0,27.3,*D/7,
10,Alex Bregman,32,CHC,NL,143,.339,118,.287,.113,2.1,14.7,11.9,90.4,45.6,20.2,44.2,22.1,0.79,36.5,51.0,12.5,0.4,0.3%,-1.91,14.9,100.0,25.0,*5/DH,
11,Iván Herrera,26,STL,NL,143,.383,148,.274,.174,2.8,15.4,17.5,90.2,46.6,19.3,47.7,23.9,0.91,28.4,53.4,18.2,0.4,0.1%,8.35,25.0,100.0,58.8,D2,
12,Matt Olson*,32,ATL,NL,143,.421,170,.333,.320,6.3,23.8,11.2,92.7,49.5,17.2,38.7,33.3,0.63,32.3,47.3,20.4,1.6,1.1%,12.56,40.9,,53.8,*3,
13,JJ Wetherholt*,23,STL,NL,143,.384,143,.264,.222,4.9,17.5,11.9,90.0,45.2,20.2,36.2,37.2,0.57,42.6,42.6,14.9,1.4,0.9%,7.08,42.6,100.0,58.3,*4/H,
14,Cal Raleigh#,29,SEA,AL,142,.296,87,.215,.200,4.9,28.9,10.6,86.9,31.4,12.8,27.9,47.7,0.39,52.3,37.2,10.5,-0.8,-0.4%,-4.81,18.8,66.7,20.0,*2/DH,
15,Bryan Reynolds#,31,PIT,NL,142,.354,118,.338,.132,2.1,26.8,17.6,91.6,44.2,22.1,49.4,26.0,0.97,39.0,42.9,18.2,0.2,0.1%,5.30,34.6,100.0,53.3,*79/DH,
16,Jakob Marsee*,25,MIA,NL,141,.281,60,.238,.085,0.7,24.1,13.5,86.9,38.8,24.4,36.0,25.6,0.58,41.9,43.0,15.1,-0.7,-0.4%,-3.21,41.5,90.9,44.4,*8/DH,
17,Daylen Lile*,23,WSN,NL,140,.303,94,.300,.125,2.1,17.9,8.6,87.7,38.2,27.2,35.9,34.0,0.56,36.9,46.6,16.5,0.0,0.1%,-0.83,40.5,25.0,50.0,*7/D9,
18,Brandon Nimmo*,33,TEX,AL,140,.359,140,.340,.169,2.9,19.3,8.6,90.8,46.9,28.6,42.9,23.5,0.75,26.5,52.0,21.4,0.5,0.3%,2.55,21.3,50.0,12.5,*9/8D,
19,Julio Rodríguez,25,SEA,AL,140,.320,103,.323,.095,1.4,22.1,8.6,88.2,40.0,25.3,47.4,18.9,0.90,30.5,53.7,15.8,0.4,0.1%,-2.95,27.3,75.0,66.7,*8,
20,Jo Adell,27,LAA,AL,139,.304,84,.303,.108,2.9,20.1,2.9,90.3,46.1,21.4,40.8,30.1,0.69,25.2,53.4,21.4,-0.2,-0.2%,0.72,23.7,100.0,41.7,*9/7D8,
21,Nick Kurtz*,23,ATH,AL,139,.387,137,.357,.189,3.6,32.4,23.7,96.4,60.7,26.2,36.1,36.1,0.56,26.2,54.1,19.7,1.5,1.0%,9.20,24.5,75.0,33.3,*3,
22,Shohei Ohtani*,31,LAD,NL,139,.402,154,.329,.218,4.3,23.7,16.5,94.5,51.9,16.5,44.3,36.7,0.80,51.9,35.4,12.7,1.1,0.6%,5.99,30.0,100.0,30.0,*D/1,
23,Kyle Schwarber*,33,PHI,NL,139,.417,160,.233,.369,7.9,28.8,17.3,93.2,50.7,18.3,32.4,39.4,0.48,47.9,35.2,16.9,1.6,0.5%,9.37,23.8,,16.7,*D/7,
24,Trea Turner,33,PHI,NL,139,.326,92,.295,.134,2.9,20.1,8.6,89.8,37.4,18.2,44.4,32.3,0.80,18.2,58.6,23.2,-0.6,-0.4%,-3.06,40.0,100.0,30.0,*6,
25,Bobby Witt Jr.,26,KCR,AL,139,.365,121,.337,.140,1.4,16.5,11.5,92.6,51.5,29.0,34.0,24.0,0.52,21.0,48.0,31.0,1.1,0.7%,3.21,16.3,83.3,44.4,*6,
26,Elly De La Cruz#,24,CIN,NL,138,.400,145,.338,.282,7.2,29.0,10.1,95.2,56.8,20.2,45.2,33.3,0.83,29.8,52.4,17.9,0.3,0.2%,9.10,41.0,72.7,77.8,*6,
27,José Ramírez#,33,CLE,AL,138,.363,111,.215,.214,4.3,13.0,15.2,90.5,44.4,20.2,27.3,42.4,0.38,34.3,55.6,10.1,0.0,0.0%,1.53,31.7,100.0,75.0,*5/D,
28,Oneil Cruz*,27,PIT,NL,137,.374,126,.338,.256,6.6,35.0,8.0,96.2,62.3,24.7,45.5,26.0,0.83,40.3,48.1,11.7,0.0,0.0%,10.56,40.0,83.3,75.0,*8/H,
29,Gleyber Torres,29,DET,AL,137,.346,112,.292,.073,1.5,15.3,17.5,82.9,25.3,25.3,49.5,24.2,0.98,9.9,54.9,35.2,-0.5,-0.2%,-0.68,31.4,,31.3,*4/D,
30,Ozzie Albies#,29,ATL,NL,136,.391,153,.320,.218,5.1,11.8,6.6,87.0,30.9,26.4,37.3,30.0,0.59,33.6,52.7,13.6,1.0,0.7%,7.91,37.2,0.0,60.0,*4,
31,Bo Bichette,28,NYM,NL,136,.266,61,.273,.087,1.5,19.9,5.9,91.6,48.5,25.7,54.5,16.8,1.20,12.9,50.5,36.6,-0.5,-0.2%,-2.26,37.1,100.0,33.3,*5/6D,
32,Shea Langeliers,28,ATH,AL,136,.427,165,.384,.264,5.9,22.8,8.1,93.1,48.9,27.7,30.9,33.0,0.45,25.5,54.3,20.2,1.5,0.9%,4.92,29.5,,50.0,*2/D,
33,Kevin McGonigle*,21,DET,AL,136,.425,164,.371,.181,1.5,12.5,14.0,88.7,40.4,30.3,27.3,37.4,0.38,32.3,52.5,15.2,0.9,0.6%,13.38,35.7,100.0,59.1,65,
34,Munetaka Murakami*,26,CHW,AL,136,.394,152,.264,.327,8.8,33.8,18.4,95.2,64.1,15.4,38.5,41.5,0.63,44.6,49.2,6.2,0.5,0.2%,11.18,25.6,0.0,30.8,*3/DH,
35,Alec Burleson*,27,STL,NL,135,.349,123,.296,.168,3.0,13.3,11.1,91.0,47.1,17.6,50.0,27.5,1.02,40.2,46.1,13.7,-0.2,0.0%,8.20,25.0,100.0,72.7,*3/H,
36,Aaron Judge,34,NYY,AL,135,.437,176,.258,.369,8.9,27.4,15.6,92.7,54.1,21.6,37.8,31.1,0.61,39.2,43.2,17.6,1.1,0.7%,8.96,33.3,71.4,33.3,*9/D,
37,Austin Riley,29,ATL,NL,135,.278,66,.235,.124,2.2,24.4,8.9,90.0,43.2,17.0,44.3,26.1,0.80,27.3,51.1,21.6,-1.1,-0.6%,-3.97,35.3,100.0,46.2,*5/H,
38,Pete Alonso,31,BAL,AL,134,.308,87,.241,.164,3.0,24.6,12.7,94.8,55.4,20.5,43.4,33.7,0.77,24.1,62.7,13.3,0.0,0.1%,-4.75,35.1,100.0,28.6,*3/D,
39,Randy Arozarena,31,SEA,AL,134,.379,135,.365,.149,1.5,21.6,11.2,90.1,39.1,26.4,50.6,20.7,1.02,27.6,47.1,25.3,-0.4,-0.2%,0.84,40.8,100.0,50.0,*7,
40,Byron Buxton,32,MIN,AL,134,.351,114,.288,.252,6.0,26.9,6.0,88.6,45.5,21.6,26.1,38.6,0.35,40.9,39.8,19.3,-0.4,-0.3%,-2.39,45.5,100.0,62.5,*8/D,
41,Ian Happ#,31,CHC,NL,134,.371,140,.284,.230,5.2,29.1,14.2,88.1,37.0,17.6,44.6,33.8,0.80,37.8,41.9,20.3,0.1,0.0%,-0.02,32.5,100.0,20.0,*7/D,
42,Matt McLain,26,CIN,NL,134,.301,76,.282,.105,1.5,25.4,13.4,88.3,32.9,16.3,37.5,32.5,0.60,20.0,56.3,23.8,-0.1,0.0%,-5.38,25.6,71.4,18.2,*4/H,
43,Sal Stewart,22,CIN,NL,134,.434,163,.277,.289,6.7,17.9,13.4,91.2,46.6,17.4,43.5,33.7,0.77,26.1,45.7,28.3,0.6,0.3%,12.87,26.8,100.0,25.0,*3/54D,
44,Miguel Vargas,26,CHW,AL,134,.375,129,.213,.224,4.5,16.4,17.9,89.1,44.2,23.3,34.9,34.9,0.54,29.1,50.0,20.9,0.5,0.1%,8.42,37.2,100.0,41.7,*5/3DH,
