ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
1,Sandy Alcantara,30,MIA,NL,47.1,.226,.290,.328,.618,.254,2.1,16.1,7.8,87.8,34.9,17.1,46.6,26.0,0.89,0.7,0.5%,6.99,
2,Max Fried*,32,NYY,AL,47.1,.161,.227,.217,.445,.202,0.6,20.9,6.8,85.5,30.4,19.0,43.7,25.4,0.80,0.8,0.6%,12.79,
3,George Kirby,28,SEA,AL,45.0,.242,.298,.339,.637,.283,2.2,19.1,6.2,89.1,40.8,11.5,56.5,25.2,1.30,0.5,0.3%,6.16,
4,Logan Webb,29,SFG,NL,44.0,.265,.332,.376,.708,.326,1.6,20.2,8.0,90.5,48.9,25.0,59.1,12.9,1.47,0.2,-0.1%,-1.10,
5,Tarik Skubal*,29,DET,AL,43.1,.222,.253,.329,.582,.295,1.2,27.1,3.6,88.5,43.0,25.4,45.6,22.8,0.88,0.8,0.7%,8.04,
6,Gavin Williams,26,CLE,AL,43.1,.166,.263,.325,.588,.207,3.5,31.0,11.1,90.7,44.9,17.3,50.0,25.5,1.02,1.1,0.8%,7.63,
7,Bryce Elder,27,ATL,NL,43.0,.204,.273,.287,.560,.252,1.2,20.9,7.6,89.2,38.8,24.0,43.0,27.3,0.76,0.8,0.6%,9.00,
8,José Soriano,27,LAA,AL,42.2,.164,.247,.233,.480,.223,1.8,30.1,9.8,87.4,34.0,15.3,55.1,27.6,1.26,1.4,0.8%,17.13,
9,Cam Schlittler,25,NYY,AL,41.2,.168,.200,.242,.442,.242,0.6,31.4,3.8,86.5,38.6,20.8,45.5,24.8,0.85,1.0,0.8%,10.37,
10,Taj Bradley,25,MIN,AL,41.0,.226,.301,.381,.681,.280,2.9,25.3,8.6,92.7,46.9,27.4,31.9,31.0,0.47,0.9,0.5%,8.36,
11,Kevin Gausman,35,TOR,AL,40.2,.204,.244,.349,.592,.243,3.1,24.8,5.0,87.3,38.9,29.2,39.8,20.4,0.67,0.4,0.3%,5.18,
12,Cristopher Sánchez*,29,PHI,NL,40.1,.289,.339,.410,.749,.395,1.7,27.8,7.2,89.8,44.4,23.1,56.4,16.2,1.29,0.3,0.2%,3.13,
13,Framber Valdez*,32,DET,AL,40.1,.236,.306,.318,.625,.285,1.2,18.5,8.1,90.2,43.9,20.8,52.0,24.0,1.08,0.5,0.1%,3.74,
14,Nathan Eovaldi,36,TEX,AL,39.2,.269,.318,.463,.780,.301,5.2,22.5,5.8,90.7,47.5,19.7,50.8,25.4,1.03,-0.2,-0.2%,-3.83,
15,Tyler Glasnow,32,LAD,NL,38.2,.146,.222,.292,.515,.188,2.8,32.6,9.0,90.2,38.1,22.6,45.2,25.0,0.83,0.6,0.5%,8.28,
16,Jeffrey Springs*,33,ATH,AL,38.2,.213,.278,.383,.661,.233,3.8,22.2,7.6,87.1,31.2,20.2,34.9,33.0,0.54,0.3,0.1%,3.03,
17,Freddy Peralta,30,NYM,NL,38.1,.207,.294,.317,.612,.263,2.4,25.6,9.8,86.2,39.4,25.0,41.3,26.0,0.74,0.6,0.2%,5.88,
18,Joe Ryan,30,MIN,AL,38.1,.218,.271,.366,.637,.275,1.9,25.2,5.8,88.3,38.1,21.9,35.2,29.5,0.55,-0.2,0.0%,-0.98,
19,Luis Severino,32,ATH,AL,38.1,.235,.354,.375,.729,.304,2.5,24.7,14.2,88.6,42.3,23.7,41.2,27.8,0.71,-0.2,-0.2%,0.67,
20,Logan Gilbert,29,SEA,AL,38.0,.277,.325,.453,.778,.349,2.5,24.4,5.0,90.1,44.5,26.4,38.2,28.2,0.63,0.0,-0.1%,1.34,
21,Bailey Ober,30,MIN,AL,38.0,.211,.287,.352,.639,.239,2.5,18.5,8.3,85.5,30.1,19.5,37.2,27.4,0.59,0.3,0.2%,1.93,
22,Seth Lugo,36,KCR,AL,37.2,.241,.295,.350,.646,.302,0.7,20.8,7.4,88.2,33.6,25.2,36.4,29.0,0.59,0.9,0.5%,6.61,
23,Yoshinobu Yamamoto,27,LAD,NL,37.2,.213,.265,.360,.626,.248,2.7,21.8,6.1,88.0,39.0,24.8,38.1,29.5,0.63,0.1,0.1%,4.04,
24,Michael Wacha,34,KCR,AL,37.1,.212,.293,.364,.656,.253,2.7,22.3,9.5,88.0,40.0,25.0,31.0,34.0,0.47,0.7,0.4%,6.58,
25,Davis Martin,29,CHW,AL,37.0,.239,.292,.351,.642,.303,1.4,22.9,5.6,90.1,48.5,35.6,35.6,18.8,0.57,1.2,0.5%,10.48,
26,Nick Martinez,35,TBR,AL,37.0,.206,.253,.316,.570,.227,2.0,16.3,6.1,85.9,29.8,19.3,39.5,31.6,0.66,1.0,0.8%,11.25,
27,Parker Messick*,25,CLE,AL,36.1,.177,.244,.234,.478,.247,0.7,28.1,7.4,85.1,26.7,18.6,52.3,18.6,1.13,1.3,0.9%,11.99,
28,Clay Holmes,33,NYM,NL,36.0,.186,.254,.295,.548,.206,2.1,17.6,7.7,89.1,42.9,17.1,58.1,19.0,1.39,0.9,0.4%,10.67,
29,Tanner Bibee,27,CLE,AL,35.1,.266,.333,.417,.751,.314,3.3,20.9,9.2,91.2,48.6,25.2,43.9,18.7,0.80,0.3,0.3%,3.12,
30,Edward Cabrera,28,CHC,NL,35.1,.234,.301,.344,.644,.276,2.1,20.1,8.3,89.9,39.2,26.5,41.2,23.5,0.74,0.2,-0.1%,2.12,
31,Nolan McLean,24,NYM,NL,35.1,.161,.230,.258,.488,.234,1.5,33.3,7.4,85.2,31.6,24.1,44.3,22.8,0.80,0.6,0.4%,5.64,
32,Landen Roupp,27,SFG,NL,35.1,.149,.248,.207,.455,.205,0.7,27.0,10.2,85.7,25.3,23.8,56.0,15.5,1.27,0.9,0.3%,7.24,
33,Jack Kochanowicz,25,LAA,AL,35.0,.189,.293,.244,.537,.223,0.7,16.3,12.2,89.1,42.0,17.3,59.6,17.3,1.55,0.7,0.3%,5.56,
34,Chris Sale*,37,ATL,NL,35.0,.185,.263,.323,.585,.222,3.6,27.7,6.6,88.1,30.2,18.6,44.2,30.2,0.79,0.9,0.5%,8.67,
35,Ranger Suárez*,30,BOS,AL,35.0,.197,.250,.303,.553,.231,2.3,22.0,6.8,88.3,38.3,27.7,40.4,22.3,0.68,0.7,0.3%,5.50,
36,Bryan Woo,26,SEA,AL,35.0,.238,.277,.377,.654,.265,2.8,19.1,4.3,89.4,48.1,21.7,31.1,36.8,0.45,0.0,0.1%,0.20,
37,Andrew Abbott*,27,CIN,NL,34.2,.303,.367,.458,.825,.333,3.2,15.2,9.5,88.2,40.0,25.2,45.4,20.2,0.86,-0.3,-0.4%,-5.04,
38,Emerson Hancock,27,SEA,AL,34.2,.226,.273,.427,.700,.247,5.3,24.2,4.5,90.1,40.0,16.3,45.7,29.3,0.84,0.5,0.3%,5.80,
39,Jameson Taillon,34,CHC,NL,34.2,.213,.291,.465,.755,.207,6.4,22.0,9.2,86.7,33.3,20.8,32.3,34.4,0.48,-0.2,0.0%,-1.62,
40,Shota Imanaga*,32,CHC,NL,34.1,.171,.226,.325,.551,.217,2.3,28.6,6.8,89.9,41.9,24.4,31.4,33.7,0.46,0.7,0.3%,6.25,
41,Jesús Luzardo*,28,PHI,NL,34.1,.259,.310,.378,.688,.352,2.1,28.3,6.2,85.7,29.8,25.5,50.0,18.1,1.02,-0.1,-0.3%,-3.22,
42,Braxton Ashcraft,26,PIT,NL,34.0,.221,.292,.361,.653,.293,2.2,28.3,8.7,89.3,35.3,14.0,46.5,30.2,0.89,0.1,0.0%,0.73,
43,Shane Baz,27,BAL,AL,34.0,.301,.353,.489,.842,.352,2.0,19.3,7.3,88.0,37.0,29.6,41.7,21.3,0.71,-0.2,-0.2%,-0.68,
