ranker,name_display,age,team_name_abbr,comp_name_abbr,b_war,b_games,b_pa,b_ab,b_r,b_h,b_doubles,b_triples,b_hr,b_rbi,b_sb,b_cs,b_bb,b_so,b_batting_avg,b_onbase_perc,b_slugging_perc,b_onbase_plus_slugging,b_onbase_plus_slugging_plus,b_roba,b_rbat_plus,b_tb,b_gidp,b_hbp,b_sh,b_sf,b_ibb,pos,awards
1,James Wood*,23,WSN,NL,1.0,32,155,122,30,29,7,0,10,24,5,1,31,50,.238,.400,.541,.941,165,.408,161,66,1,2,0,0,6,*9/7D,
2,Zach Neto,25,LAA,AL,1.2,32,150,129,21,30,8,0,5,15,5,3,20,47,.233,.340,.411,.751,111,.342,115,53,0,1,0,0,1,*6,
3,Drake Baldwin*,25,ATL,NL,1.3,32,146,130,30,40,4,0,7,25,1,0,14,28,.308,.384,.500,.884,147,.395,150,65,4,2,0,0,1,*2D,
4,Nico Hoerner,29,CHC,NL,1.8,31,146,127,16,37,8,0,4,26,7,0,13,14,.291,.370,.449,.819,137,.386,144,57,1,4,0,2,0,*4/6,
5,Ronald Acuña Jr.,28,ATL,NL,0.2,32,145,121,15,29,8,1,2,9,6,4,19,31,.240,.352,.372,.724,104,.329,107,45,0,3,0,2,1,*9/D,
6,Gunnar Henderson*,25,BAL,AL,0.7,31,145,131,22,28,6,1,9,19,5,1,12,44,.214,.283,.481,.764,111,.342,109,63,1,1,0,1,0,*6/D,
7,Mike Trout,34,LAA,AL,1.8,31,144,109,29,27,5,0,10,21,5,0,32,30,.248,.431,.569,.999,180,.458,190,62,2,3,0,0,3,*8/D,
8,Taylor Ward,32,BAL,AL,1.4,31,144,115,18,35,13,0,1,11,1,1,27,21,.304,.438,.443,.881,149,.399,153,51,1,1,0,1,0,*7/D,
9,Yordan Alvarez*,29,HOU,AL,2.0,32,143,118,25,42,9,0,12,27,1,0,21,14,.356,.462,.737,1.199,230,.507,230,87,1,3,0,1,6,*D/7,
10,Alex Bregman,32,CHC,NL,0.6,31,143,124,10,32,3,1,3,11,1,0,17,21,.258,.350,.371,.721,110,.339,118,46,6,1,0,1,1,*5/DH,
11,Iván Herrera,26,STL,NL,1.0,31,143,109,18,27,7,0,4,14,1,0,25,22,.248,.420,.422,.842,144,.383,148,46,2,8,0,1,4,D2,
12,Matt Olson*,32,ATL,NL,2.0,32,143,125,27,37,13,0,9,28,0,0,16,34,.296,.371,.616,.987,172,.421,170,77,2,0,0,2,1,*3,
13,JJ Wetherholt*,23,STL,NL,1.5,31,143,117,27,30,5,0,7,16,4,0,17,25,.256,.378,.479,.856,145,.384,143,56,0,7,0,2,0,*4/H,
14,Cal Raleigh#,29,SEA,AL,0.6,32,142,125,13,24,4,0,7,18,2,1,15,41,.192,.275,.392,.667,90,.296,87,49,2,0,0,2,0,*2/DH,
15,Bryan Reynolds#,31,PIT,NL,0.5,32,142,114,21,28,4,1,3,19,1,0,25,38,.246,.387,.377,.765,114,.354,118,43,1,2,0,1,2,*79/DH,
16,Jakob Marsee*,25,MIA,NL,-0.3,31,141,118,18,21,3,2,1,8,10,1,19,34,.178,.300,.263,.563,60,.281,60,31,1,2,1,1,0,*8/DH,
17,Daylen Lile*,23,WSN,NL,0.4,31,140,128,20,33,7,0,3,14,1,3,12,25,.258,.321,.383,.704,99,.303,94,49,2,0,0,0,1,*7/D9,
18,Brandon Nimmo*,33,TEX,AL,1.0,31,140,124,14,36,7,1,4,12,1,1,12,27,.290,.364,.460,.824,144,.359,140,57,3,3,0,1,1,*9/8D,
19,Julio Rodríguez,25,SEA,AL,0.4,32,140,126,14,32,6,0,2,12,3,1,12,31,.254,.329,.349,.678,96,.320,103,44,2,2,0,0,1,*8,
20,Jo Adell,27,LAA,AL,-0.2,32,139,130,13,34,2,0,4,19,2,0,4,28,.262,.302,.369,.671,89,.304,84,48,4,4,0,1,0,*9/7D8,
21,Nick Kurtz*,23,ATH,AL,1.1,30,139,106,18,25,5,0,5,15,3,1,33,45,.236,.417,.425,.842,131,.387,137,45,0,0,0,0,4,*3,
22,Shohei Ohtani*,31,LAD,NL,0.9,29,139,110,21,30,6,0,6,13,4,0,23,33,.273,.406,.491,.897,153,.402,154,54,3,3,0,2,6,*D/1,
23,Kyle Schwarber*,33,PHI,NL,1.1,31,139,111,21,25,6,1,11,20,0,0,24,40,.225,.381,.595,.976,163,.417,160,66,1,4,0,0,0,*D/7,
24,Trea Turner,33,PHI,NL,0.3,31,139,127,20,32,5,0,4,11,3,0,12,28,.252,.317,.386,.702,92,.326,92,49,3,0,0,0,0,*6,
25,Bobby Witt Jr.,26,KCR,AL,1.7,31,139,121,10,35,9,1,2,15,10,2,16,23,.289,.367,.430,.797,124,.365,121,52,4,0,0,2,2,*6,
26,Elly De La Cruz#,24,CIN,NL,1.4,31,138,124,26,35,5,0,10,24,8,3,14,40,.282,.355,.565,.920,146,.400,145,70,1,0,0,0,0,*6,
27,José Ramírez#,33,CLE,AL,1.0,32,138,117,19,26,7,0,6,12,12,0,21,18,.222,.341,.436,.776,116,.363,111,51,1,0,0,0,3,*5/D,
28,Oneil Cruz*,27,PIT,NL,0.5,30,137,125,23,32,5,0,9,26,10,2,11,48,.256,.321,.512,.833,127,.374,126,64,1,1,0,0,2,*8/H,
29,Gleyber Torres,29,DET,AL,1.1,30,137,110,18,28,2,0,2,10,0,0,24,21,.255,.387,.327,.714,101,.346,112,36,2,1,0,2,0,*4/D,
30,Ozzie Albies#,29,ATL,NL,1.5,32,136,124,23,40,6,0,7,20,0,2,9,16,.323,.368,.540,.908,152,.391,153,67,1,1,0,2,0,*4,
31,Bo Bichette,28,NYM,NL,-0.3,31,136,126,15,29,5,0,2,14,1,0,8,27,.230,.272,.317,.590,67,.266,61,40,5,0,0,2,0,*5/6D,
32,Shea Langeliers,28,ATH,AL,1.6,30,136,125,21,41,9,0,8,15,0,0,11,31,.328,.382,.592,.974,162,.427,165,74,3,0,0,0,1,*2/D,
33,Kevin McGonigle*,21,DET,AL,2.0,31,136,116,22,38,11,2,2,13,2,0,19,17,.328,.426,.509,.935,159,.425,164,59,0,1,0,0,0,65,
34,Munetaka Murakami*,26,CHW,AL,1.0,31,136,110,22,26,0,0,12,23,0,1,25,46,.236,.375,.564,.939,160,.394,152,62,1,0,0,1,3,*3/DH,
35,Alec Burleson*,27,STL,NL,0.7,30,135,119,15,33,8,0,4,25,1,0,15,18,.277,.356,.445,.801,129,.349,123,53,4,0,0,1,2,*3/H,
36,Aaron Judge,34,NYY,AL,1.7,31,135,111,25,28,5,0,12,20,5,2,21,37,.252,.381,.622,1.002,175,.437,176,69,2,2,0,0,1,*9/D,
37,Austin Riley,29,ATL,NL,-0.1,32,135,121,15,23,6,0,3,17,2,0,12,33,.190,.274,.314,.588,65,.278,66,38,4,2,0,0,0,*5/H,
