agent,bets,wins,win_rate,pnl,roi_pct,sharpe,max_dd,avg_ev,avg_kelly
UmpireAgent,56593,35866,63.38,1187.88,20.99,26.614,1.1272,25.18,0.1
UnderMachine,844747,528014,62.51,16328.45,19.33,72.563,0.0,21.7,0.1
GetawayAgent,196292,122466,62.39,3750.78,19.11,71.813,0.0,21.67,0.1
FadeAgent,76041,47112,61.96,1390.05,18.28,79.88,0.0,21.33,0.1
SteamAgent,203269,123802,60.91,3308.14,16.27,62.867,0.1907,23.89,0.1
MLEdgeAgent,1030295,627157,60.87,16701.04,16.21,65.973,1.2996,23.84,0.1
LineupAgent,1187322,705983,59.46,16047.01,13.52,60.452,1.2996,19.76,0.1
PlatoonAgent,561001,333568,59.46,7581.37,13.51,62.511,0.0,19.76,0.1
ArsenalAgent,403534,238815,59.18,5238.77,12.98,33.022,5.1176,22.46,0.1
EVHunter,1355146,799747,59.02,17165.1,12.67,59.966,1.2996,19.63,0.1
LineValueAgent,1355146,799747,59.02,17165.1,12.67,59.966,1.2996,19.63,0.1
WeatherAgent,93796,54995,58.63,1119.5,11.94,32.341,2.5725,22.02,0.1
CatcherAgent,30744,17760,57.77,316.16,10.28,7.487,2.7272,21.84,0.1
BullpenAgent,9844,5646,57.35,93.48,9.5,13.05,1.809,22.47,0.1
F5Agent,167824,93764,55.87,1118.09,6.66,11.178,8.5083,18.7,0.1
