agent,bets,wins,win_rate,pnl,roi_pct,sharpe,max_dd,avg_ev,avg_kelly
StreakAgent,2030,1535,75.62,90.05,44.36,15.363,0.5,65.64,0.1
OmegaStack,19803,13549,68.42,606.34,30.62,31.847,0.5909,37.08,0.1
VultureStack,25504,17137,67.19,721.22,28.28,33.876,0.8727,31.75,0.1
UmpireAgent,17622,11236,63.76,382.86,21.73,28.434,0.8091,24.96,0.1
UnderMachine,250358,156176,62.38,4779.76,19.09,70.11,0.0,23.82,0.1
GetawayAgent,58577,36508,62.32,1112.04,18.98,78.599,0.0,23.79,0.1
FadeAgent,61632,38242,62.05,1137.58,18.46,73.614,0.0,21.28,0.1
SteamAgent,56188,34455,61.32,959.0,17.07,63.703,0.0,23.75,0.1
MLEdgeAgent,304240,184988,60.8,4892.06,16.08,59.838,0.0,24.95,0.1
LineupAgent,352606,209028,59.28,4644.94,13.17,54.528,0.0,21.89,0.1
PlatoonAgent,162058,95994,59.23,2120.41,13.08,53.407,0.0,21.89,0.1
LineValueAgent,399698,235708,58.97,5029.21,12.58,54.431,0.0,19.54,0.1
EVHunter,400382,236054,58.96,5026.87,12.56,54.354,0.0,21.45,0.1
BullpenAgent,2822,1644,58.26,31.66,11.22,15.732,0.7636,21.81,0.1
WeatherAgent,26425,15333,58.02,284.72,10.77,29.275,0.409,21.66,0.1
ArsenalAgent,160137,91801,57.33,1512.03,9.44,28.208,1.5908,21.17,0.1
F5Agent,47776,27026,56.57,381.93,7.99,12.672,3.6635,18.21,0.1
CatcherAgent,11689,6581,56.3,87.48,7.48,5.953,3.5181,21.04,0.1
